,abstract,citations,link,reference,title,year
0,"… targets, we explore different ways to make it difficult for attackers to achieve - … In [7],we defined  metrics for assessing the , and mathemati- cally modelled … 2.2 Summaryof   Allocation Policies In  computing environments, there are … ",84,https://ieeexplore.ieee.org/abstract/document/7101258/,", , … - IEEE Transactions on …, 2015 - ieeexplore.ieee.org","Using cloud security ""co-residence"" OR ""co-resident"" attack virtual machine allocation policies to defend against cloud security ""co-residence"" OR ""co-resident"" attack virtual machine -cloud security ""co-residence"" OR ""co-resident"" attack virtual machine in cloud security ""co-residence"" OR ""co-resident"" attack virtual machine computing",2015
1,"… on the VM allocation poli- cy, since this is one important factor the  provider can … new VMalloca- tion strategy that considerably increases the difficulty for attackers to achieve - …In Sec- tion III, we define several  metrics that measure the -  … ",35,https://ieeexplore.ieee.org/abstract/document/6883415/,", , … - 2014 IEEE International …, 2014 - ieeexplore.ieee.org","allocation policies against cloud security ""co-residence"" OR ""co-resident"" attack virtual machine -cloud security ""co-residence"" OR ""co-resident"" attack virtual machine in cloud security ""co-residence"" OR ""co-resident"" attack virtual machine computing",2014
2,"… policies in  computing, and investigate the impact of these policies on the efficiency ofachieving - … These policies form the basis of most policies used in real  systems …Specifically, we model this as a two-player  game, where the attacker's goal is to … ",52,https://link.springer.com/chapter/10.1007/978-3-319-02786-9_7,", , ,  - … and Game Theory for , 2013 - Springer","games for cloud security ""co-residence"" OR ""co-resident"" attack virtual machine allocation in cloud security ""co-residence"" OR ""co-resident"" attack virtual machine computing",2013
3,"… RQ4). 4. CONCLUSION We have introduced the integrity protection problem inthe  and proposed a novel architecture, Transparent  Protection System(TCPS) for increased  of  resources. TCPS … ",51,https://dl.acm.org/doi/abs/10.1145/1774088.1774176,",  - Proceedings of the 2010 ACM symposium on …, 2010 - dl.acm.org","Transparent cloud security ""co-residence"" OR ""co-resident"" attack virtual machine for ",2010
4,"… It was concluded that currently for unconditional  against cross-VM , one mustavoid - … I) as a first example: User 2 will receive reward from using the  services(this … 6 game possibilities) and will pay expense for the cost of paying for extra  … ",30,https://ieeexplore.ieee.org/abstract/document/7214090/,"L Kwiat, , KA Kwiat… - … Conference on  …, 2015 - ieeexplore.ieee.org","-aware cloud security ""co-residence"" OR ""co-resident"" attack virtual machine allocation in the cloud security ""co-residence"" OR ""co-resident"" attack virtual machine : A game theoretic approach",2015
5,… While privacy issues in  have been described in depth by Pearson … Virtualizationtechnologies underlying  computing infrastructure can pose  challenges themselves(Secunia … The proposed Advanced  Protection System (ACPS) is intended to actively … ,472,https://www.sciencedirect.com/science/article/pii/S1084804510001062,",  - Journal of network and computer applications, 2011 - Elsevier","Secure virtualization for cloud security ""co-residence"" OR ""co-resident"" attack virtual machine computing",2011
6,"… keys: In this type of , in the context of third-party compute , would be … techtarget.co/ Analysis of  Computing [3] Brodkin, J.: Seven  Computing Risks(2008) http://www.gartner.com/DisplayDocument?id=685308 [4] http://.org … ",30,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.671.4713&rep=rep1&type=pdf,"B Sevak - International journal of engineering and advanced …, 2013 - Citeseer","against side channel cloud security ""co-residence"" OR ""co-resident"" attack virtual machine in cloud security ""co-residence"" OR ""co-resident"" attack virtual machine computing",2013
7,"… Ristenpart, T., Tromer, E., Shacham, H., Savage, S.: Hey, you, get off of my : exploringinformation leakage in third-party compute . In: Proceedings of the 16th ACM Conferenceon Computer and Communications , pp. 199–212. ACM (2009) 17 … ",14,https://link.springer.com/chapter/10.1007/978-3-319-02726-5_9,", AC Squcciarini - … and Communications , 2013 - Springer","Detecting malicious cloud security ""co-residence"" OR ""co-resident"" attack virtual machine -cloud security ""co-residence"" OR ""co-resident"" attack virtual machine indulging in load-based ",2013
8,"… (eds.) Proceedings of the 6th International Conference on Critical Infrastructure (CRITIS-2011 … Google Scholar. 6. Ristenpart, T., Tromer, E., Shacham, H., Savage, S.: Hey, you,get off of my : exploring information leakage in third-party compute  … ",15,https://link.springer.com/article/10.1007/s10207-014-0255-8,", ,  - … of Information , 2015 - Springer","Behaviour reflects personality: detecting cloud security ""co-residence"" OR ""co-resident"" attack virtual machine -cloud security ""co-residence"" OR ""co-resident"" attack virtual machine on Xen-based cloud security ""co-residence"" OR ""co-resident"" attack virtual machine environments",2015
9,"… 3 No. 4, pp. 2672-2676, April 2011. [20] K. Zunnurhain and S. Vrbsky, “ and Solutions in ,” 2nd IEEE International Conference on  ComputingTechnology and Science, Indianapolis, December 2010 … ",25,https://pdfs.semanticscholar.org/2478/15a9f8439c8a61302c4e7de45ae19b1a6cc5.pdf,"P Chouhan,  - International Journal of Advanced …, 2016 - pdfs.semanticscholar.org","on cloud security ""co-residence"" OR ""co-resident"" attack virtual machine computing with possible solution",2016
