,abstract,citations,link,reference,title,year
809,"… one of these shared resources, which can be exploited to recover fine grain information from- tenants … exploiting page sharing, they are advised to disable this feature and no provider is … 39] showed that it is applicable in several commercial PaaS , where it … ",5,https://www.mdpi.com/2076-3417/9/5/944,", P Malagón, JM de Goyeneche,  - Applied Sciences, 2019 - mdpi.com",Cache misses and the recovery of the full AES 256 key,2019.0
883,"… In this paper, we explore another  enabled by specula- tive execution: ExSpectre … Networkand Distributed Systems  (NDSS) Symposium 2019 24-27 February 2019, San … all cores,eventually having the payload program and trigger program become -  … ",2,https://pdfs.semanticscholar.org/25ea/b72f0ae87d6a7f5d025a08f847bd06b5c035.pdf,", ,  - NDSS, 2019 - pdfs.semanticscholar.org",ExSpectre: Hiding Malware in Speculative Execution.,2019.0
813,"… VM) on a public , which is being  by a malicious - VM [İnci … completelystatic partitioning, where the configuration of domains, and thus the system's  policy, is …Furthermore, such a static approach would not suit the  scenario: while the domain … ",14,https://dl.acm.org/doi/abs/10.1145/3302424.3303976,", , ,  - Proceedings of the Fourteenth …, 2019 - dl.acm.org",Time protection: the missing OS abstraction,2019.0
345,"… <p>In the area of network development, especially  computing,  has been a … In orderto better utilize physical resources,  service providers usually allocate different …  (VM) - , a serious threat in this sharing methodology, includes … ",In cache,https://ci.nii.ac.jp/naid/130007709898/,"H Jia, X Liu, X Di, H Qi, B Cai, J Li, H Yang… - Journal of Advanced …, 2019 - ci.nii.ac.jp",Journal of Advanced Computational Intelligence and Intelligent Informatics,2019.0
348,"… This paper considers them from the  perspective of the  infrastructure provider … couldbelieve that the classic data-center is cheaper than the , which enforces … Sophisticated patterns could be designed to inflict fraudulent resource consumption in stealthy … ",3,https://www.sciencedirect.com/science/article/pii/S0020025518303955," - Information Sciences, 2019 - Elsevier","Could emerging fraudulent energy consumption cloud security ""co-residence"" OR ""co-resident"" attack virtual machine make the cloud security ""co-residence"" OR ""co-resident"" attack virtual machine infrastructure costs unsustainable?",2019.0
674,"… ), decide whether to allow the connections based at least in part on - whitelists178 … especially in scenarios where many alert are issued concurrently, eg, during a denial of service … 2009,   is not (just) virtualization : a short paper … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190197233A1/en,"A Chopra, DG Wing, V Ganti, C Corde… - US Patent App. 16 …, 2019 - Google Patents",Automatic whitelisting using provisioning information,2019.0
33,… optimization problem give cost‐efficient strategy of allocating  service and protectionresources to effectively defend against ‐  … 3. DATA  EVALUATION …of k UVMs among servers within the subset where no more than h‐i  servers  the … ,3,https://onlinelibrary.wiley.com/doi/abs/10.1111/risa.13219,", , HZ Huang - Risk Analysis, 2019 - Wiley Online Library","of separated data in cloud security ""co-residence"" OR ""co-resident"" attack virtual machine systems with competing cloud security ""co-residence"" OR ""co-resident"" attack virtual machine detection and data theft processes",2019.0
34,"… one UVM co-resides with AVMs increases. As the number of AVMs in the increases with time, both of these - probabilities increase with time.This causes a decrease of both data survivability and  … ",2,https://www.sciencedirect.com/science/article/pii/S0951832017314321,"L Luo, ,  - Reliability Engineering & System Safety, 2019 - Elsevier","Optimizing dynamic survivability and cloud security ""co-residence"" OR ""co-resident"" attack virtual machine of replicated data in cloud security ""co-residence"" OR ""co-resident"" attack virtual machine systems under cloud security ""co-residence"" OR ""co-resident"" attack virtual machine -",2019.0
925,"… to key tech- nologies in 5G Identify and discuss the open challenges and opportunities in and privacy related to the key 5G technologies, ie SDN, NFV, MEC,  com- puting … Discussthe  challenges related to SDN, NFV, mobile  technologies and … ",6,https://ieeexplore.ieee.org/abstract/document/8792139/,", , … - … Surveys & Tutorials, 2019 - ieeexplore.ieee.org","A survey on cloud security ""co-residence"" OR ""co-resident"" attack virtual machine and privacy of 5G technologies: Potential solutions, recent advancements and future directions",2019.0
842,"… It introduces the new source of an  in the  environment when underlying infrastructureis … 2.2  Challenges to VM A VM is a potential target to gain an unauthorized access tothe … CVE-2015-3252).” “BIG-IP and BIG-IQ AWS, Azure, or Verizon  instances do … ",4,https://dl.acm.org/doi/abs/10.1145/3287306,",  - ACM Computing Surveys (CSUR), 2019 - dl.acm.org","An exhaustive survey on cloud security ""co-residence"" OR ""co-resident"" attack virtual machine concerns and solutions at different components of virtualization",2019.0
