,abstract,citations,link,reference,title,year
0,"… [18] Armbrust ,M. ,Fox, A., Griffth, R., et al “Above the : A Berkeley … Protocol (KMIP)” [30]Rion Dutta, ”Planning for Single SignOn”, White Paper, MIEL e-  Pvt … International Journalon  Computing: Services and Architecture (IJCCSA),Vol.3, No.2, April 2013 35 … ",25,https://www.researchgate.net/profile/Kashif_Munir/publication/269672042_Framework_for_Secure_Cloud_Computing/links/57a03b9608ae94f454e7c821/Framework-for-Secure-Cloud-Computing.pdf,",  - … International Journal on  …, 2013 - researchgate.","Framework for cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing",2013
1,"… As remarked by Bruce Schneier, “the only  computer is one that's turned off, locked in … scenarios on  hosted services and proposed a trust enhanced  model … Alerts willbe exchanged with the IDS nodes  throughout the  environment when … ",172,https://www.sciencedirect.com/science/article/pii/S1084804516000023,", ,  - … of and Computer Applications, 2016 - Elsevier","(DDoS) resilience in cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation : Review and conceptual cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation DDoS cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation framework",2016
2,"… Thus, there is a need in the computer  field to create a new and … The resource  110may additionally be composed of a plurality of multitenancy  … Some groups of multitenancy may be  geographically, may operate on separate , or may … ",142,https://patents.google.com/patent/US20110083179A1/en,"J Lawson, J Wolthuis, E Cooke - US Patent App. 12/900,368, 2011 - Google Patents","System and method for cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation a cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation using cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing",2011
3,"… W. Zhou, and J. Singh, ""Chaos Theory Based Detection against  Mimicking DDoS … IPSpoofing through Interdomain Packet Filters,” IEEE Transactions on Dependable and Computing, vol … [13] A.Chonka, Y.Xiang, W. Zhou, and A. Bonti, ,   Defence to … ",51,https://ieeexplore.ieee.org/abstract/document/6354861/,", J Abawajy - … International Conference on  …, 2012 - ieeexplore.ieee.org","Detecting and cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation HX-DoS cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation against cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation web services",2012
4,"… [10] Armbrust ,M. ,Fox, A., Griffth, R., et al “Above the : A Berkeley … 22] Miranda Mowbrayand Siani Pearson, A client-based privacy manager for  computing … IJCSNS InternationalJournal of Computer Science and  , VOL.12 No.12, December 2012 114 … ",27,https://pdfs.semanticscholar.org/44dc/8494b2bbd8aa56320de8a209d3aa6c36628b.pdf,",  - IJCSNS, 2012 - pdfs.semanticscholar.org","threats/cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation present in cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation environment",2012
5,"… we analyzed and identified recommended defense mechanisms against DDoS  in-based systems … REFERENCES [I] J. Nazario, ""DDoS  evolution, ""  ,vol … Spoofed IP Traffic Using Hop-Count Filtering, "" IEEE/ACM Transactions on , vol … ",54,https://ieeexplore.ieee.org/abstract/document/6636342/,", ,  - International Conference on …, 2013 - ieeexplore.ieee.org","-based DDoS cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation and defenses",2013
6,"… Proceedings of the 9th International Conference on Dependable, Autonomic and Computing, pp … 23] Bernd Grobauer, Tobias Walloschek and Elmar Stocker, “Understanding Computing Vulnerabilities  and Privacy”, IEEE  and Privacy … ",2,http://ictactjournals.in/paper/IJCT_Vol_7_Iss_4_Paper_4_1402_1407.pdf," - ICTACT Journal on Communication Technology, 2016 - ictactjournals.in","ECONOMIC DENIAL OF SUSTAINABILITY cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation ON cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation -A SURVEY.",2016
7,… c) Hybrid  This infrastructure is a combination of  that are linked to one …  IN  COMPUTING WITH THEIR  TECHNIQUES …  Level •Using DNS  measures eg Domain Name System  Extensions (DNSSEC … ,13,https://ieeexplore.ieee.org/abstract/document/8250365/,"N Amara, H Zhiqui,  - … on Cyber-Enabled  …, 2017 - ieeexplore.ieee.org","computing cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation threats and cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation with their cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation techniques",2017
8,"… International Journal of Computer Science and  (IJCSS), Volume (6) : Issue (4) 236 … [26]Lee, S., G. Kim, and S. Kim, Sequence-order-independent  profiling for … A cooperativeintrusion detection system framework for  computing . 2010: IEEE … ",18,https://www.academia.edu/download/34817228/IJCSS-760.pdf,"MN Ismail, , … - … Science and  …, 2012 - academia.edu","New framework to detect and prevent cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation in cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing environment",2012
9,"… We would hope that companies like IBM could be more  in the –and maybe evencook up something … Overall,  computing  is an untapped field …  using IDS overthe  will fade away majority of these problems and ease the usage of the  … ",268,https://ieeexplore.ieee.org/abstract/document/5437670/,"A Bakshi,  - … Software and , 2010 - ieeexplore.ieee.org","Securing cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation from ddos cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation using intrusion detection system in virtual machine",2010
