,abstract,citations,link,reference,title,year
835,…  controllers process the received requests from end-users and provide them thecorresponding  services … Preserving the privacy and  are two important characteristicswhen designing the architecture of Vehicular  and  (as well as any … ,8,https://link.springer.com/article/10.1007/s11276-017-1563-5,", A Marefat, ,  - Wireless , 2019 - Springer","Could-based vehicular cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation : a taxonomy, survey, and conceptual hybrid architecture",2019.0
49,… A survey on  issues and countermeasures in  computing stor- age and a tour towardsmulti- … Disruptive  Computing and IT:  Computing SIMPLIFIED for every ITProfessional … 263 A  Framework for   Computing Environments … ,59,https://www.igi-global.com/chapter/a-security-framework-for-secure-cloud-computing-environments/224576,"M Jouini,  - : Concepts, methodologies, tools …, 2019 - igi-global.com","A cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation framework for cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing environments",2019.0
884,… The widely adopted deployment models of  computing include public and private in which … We have also made a comparison of edge computing with  computing to … fordevelopers and technology enthusiasts who are involved in developing  and privacy … ,2,https://link.springer.com/chapter/10.1007/978-3-319-99061-3_10,", U Arumugam - Edge Computing, 2019 - Springer","A conceptual framework for cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation and privacy in edge computing",2019.0
676,"… and less  concerned applications with less sensitive data on public  [4]. As … shouldbe properly implemented, monitored, and improved further to  those  risks … firewallto reduce the  surface of virtualized servers in  computing environments … ",1,https://www.tci-thaijo.org/index.php/asit-journal/article/view/164779,"T Gunadham, P Kuacharoen - Journal of Applied Statistics and …, 2019 - tci-thaijo.org","Concerns in cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation Computing for Knowledge Management Systems",2019.0
955,"… SH-BlockCC: A  and efficient Internet of things smart home architecture based on computing and blockchain technology. Saurabh Singh, In-Ho Ra, Weizhi Meng, Maninder Kaur,and Gi Hwan Cho. International Journal of  Sensor  2019 15:4 … ",2,https://journals.sagepub.com/doi/abs/10.1177/1550147719844159,", IH Ra, , M Kaur… - … Journal of  …, 2019 - journals.sagepub.com","SH-BlockCC: A cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation and efficient Internet of things smart home architecture based on cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing and blockchain technology",2019.0
821,… 1.1.3.4 Hybrid  8 1.1.3.5 Miscellaneous types of deployment based  8 1.1.4FEATURES OF  COMPUTING … 1.2.5.9 Support in Research area 17 1.3 RESOURCE MANAGEMENT AND  18 1.3.1 CHALLENGES RELATED TO  … ,Alle 2 versiesHTML-versie,http://ir.inflibnet.ac.in:8080/jspui/bitstream/10603/234360/3/03_preliminary%20pages.pdf, - 2019 - ir.inflibnet.ac.in,"Enhanced cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation Resource Management With Intrusion Detection And Prevention System For cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation Intelligence",2019.0
528,"… Most public  are sh- ared environments; it is critical to ensure that hosting providers can …bugs, it is of essence to be prepared to apply  updates and general software … Vulnerabilitymanagement depends on the  deli- very model and is a shared activity between … ",6,https://www.udspub.com/ajj/public/index.php/jsc/article/view/67,"A Giannakoulias - Journal of Smart Cities, 2019 - udspub.com","computing cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation : protecting cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation -based smart city applications",2019.0
523,"… 2018: 1-7. [22] Alqahtani, Sarra M, Rose F, Gamble. DDoS  in Service . 48th HawaiiInternational Conference on System Sciences … [24] Grobauer, Bernd, Tobias Walloschek, ElmarStocker. Understanding  Computing Vulnerabilities. IEEE  & Privacy … ",1,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=16936930&AN=138666095&h=8zv3bnCdsCXl0iaQVpnifrgEy6mKw4bGyzu3zB8Kn6TyF93yy2nXzpivUJ7MfkGK%2BxWfQJTRJasuHib51KWhUg%3D%3D&crl=c," - Telkomnika, 2019 - search.ebscohost.com","A brief review: cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation issues in cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing and their solutions.",2019.0
284,"… As presented above, -computing  is now a good and hot area for research and … ofthe main objectives of XML DoS  is to overload the  resources of … Paper—Performance Analysis of an Effective Approach to Protect  Systems Against Application … ",1,https://onlinejour.journals.publicknowledgeproject.org/index.php/i-joe/article/view/9931,"HF El-Sofany,  - … of Online and …, 2019 - … journals.publicknowledgeproject.org","Performance Analysis of an Effective Approach to Protect cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation Systems against Application Layer Based ",2019.0
60,… and Kumar [30] give another heading in which a similar dimension of  capacities for … andis an entire plan for principle-based DDoS arrange interruption location in  … should berouted to discussed to  DDoS  in SDN and  computing scenarios … ,7,https://ieeexplore.ieee.org/abstract/document/8735686/,", K Abbas, R Jain - IEEE Access, 2019 - ieeexplore.ieee.org","A survey on cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation (DDoS) cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation in SDN and cloud security + network + distributed +  ""denial of service"" + attack Iaas Paas Saas mitigation computing environments",2019.0
