,abstract,citations,link,reference,title,year
0,"Distributed (DDoS) attacks in computing environments are growing due to the essential characteristics of computing. With recent advances in software-defined networking (SDN), SDN-based brings us new chances to defeat DDoS attacks …",441,https://ieeexplore.ieee.org/abstract/document/7289347/,", , Q Gong,  - IEEE Communications Surveys & …, 2015 - ieeexplore.ieee.org","Software-defined networking (SDN) and distributed allintitle: ""Denial of service"" ""cloud"" (DDoS) attacks in allintitle: ""Denial of service"" ""cloud"" computing environments: A survey, some research issues, and …",2015
1,,171,,",  - IEEE Communications Magazine, 2015 - IEEE",,2015
2,"A system and method for mitigating a attack that includes distributing network communication messages directed at a resource within a resource , directing the distributed network communication messages, filtering the network communication …",168,https://patents.google.com/patent/US20110083179A1/en,"J Lawson, J Wolthuis, E Cooke - US Patent App. 12/900,368, 2011 - Google Patents","System and method for mitigating a allintitle: ""Denial of service"" ""cloud"" attack using allintitle: ""Denial of service"" ""cloud"" computing",2011
3,"Despite the increasing popularity of services, ensuring the security and availability of data, resources and services remains an ongoing research challenge. Distributed (DDoS) attacks are not a new threat, but remain a major security challenge and are a …",170,https://www.sciencedirect.com/science/article/pii/S1084804516000023,", ,  - Journal of Network and Computer …, 2016 - Elsevier","Distributed allintitle: ""Denial of service"" ""cloud"" (DDoS) resilience in allintitle: ""Denial of service"" ""cloud"" : Review and conceptual allintitle: ""Denial of service"" ""cloud"" DDoS mitigation framework",2016
4,"A method to mitigate attack by an upstream service provider using mitigation services. An edge detection device, which located at the subscriber's network edge, is able to communicate information via status messages about attacks to an upstream service …",117,https://patents.google.com/patent/US9432385B2/en,"C Kustarz, LB Huston III, JA Simpson… - US Patent …, 2016 - Google Patents","System and method for allintitle: ""Denial of service"" ""cloud"" attack mitigation using allintitle: ""Denial of service"" ""cloud"" services",2016
5,"… 1. Fig. 1. Distributed    (DDoS) The eDDoS (economic Distributed  ) in  is due to the DDoS attack, where the service to the legitimate user is neverrestricted also server and network are not target of attack, as shown in Fig … ",80,https://ieeexplore.ieee.org/abstract/document/6375171/,", P Sujatha, V Kalva, R Nagori… - 2012 Fourth …, 2012 - ieeexplore.ieee.org","Mitigating economic denial of sustainability (edos) in allintitle: ""Denial of service"" ""cloud"" computing using in-allintitle: ""Denial of service"" ""cloud"" scrubber service",2012
6,"The success of the computing paradigm is due to its on-demand, self-service, and pay-by-use nature. According to this paradigm, the effects of (DoS) attacks involve not only the quality of the delivered service, but also the service maintenance costs …",77,https://ieeexplore.ieee.org/abstract/document/6847157/,",  - IEEE transactions on computing, 2014 - ieeexplore.ieee.org","Stealthy allintitle: ""Denial of service"" ""cloud"" strategy in allintitle: ""Denial of service"" ""cloud"" computing",2014
7,A -based proxy service identifies a --(DoS) attack including determining that there is a potential DoS attack being directed to an IP address of the -based proxy service; and responsive to determining that there are a plurality of domains that …,84,https://patents.google.com/patent/US8613089B1/en,"LH Holloway, SN Rao, MB Prince, MPF Tourne… - US Patent …, 2013 - Google Patents","Identifying a allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" attack in a allintitle: ""Denial of service"" ""cloud"" -based proxy service",2013
8,"This work analyzes a new and very subtle kind of security threat that can affect large-scale -based IT service infrastructures, by exploiting the computational resources of their component data center to waste as much energy as possible. The consequence of these …",52,https://link.springer.com/article/10.1007/s11227-014-1242-6,", , , … - The Journal of …, 2015 - Springer","Energy-oriented allintitle: ""Denial of service"" ""cloud"" attacks: an emerging menace for large allintitle: ""Denial of service"" ""cloud"" infrastructures",2015
9,A -based proxy service identifies a --(DoS) attack including determining that there is a potential DoS attack being directed to an IP address of the -based proxy service; and responsive to determining that there are a plurality of domains that …,54,https://patents.google.com/patent/US9628509B2/en,"LH Holloway, SN Rao, MB Prince, MPF Tourne… - US Patent …, 2017 - Google Patents","Identifying a allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" attack in a allintitle: ""Denial of service"" ""cloud"" -based proxy service",2017
10,"computing has a central role to play in meeting today׳ s business requirements. However, Distributed --(DDoS) attacks can threaten the availability of functionalities. In recent years, many effort has been expended to detect the various DDoS …",43,https://www.sciencedirect.com/science/article/pii/S1084804515002118,", , M Fekih-Ahmed… - Journal of Network and …, 2015 - Elsevier","Taxonomy of distributed allintitle: ""Denial of service"" ""cloud"" mitigation approaches for allintitle: ""Denial of service"" ""cloud"" computing",2015
11,"defines a new age of computing solution that provides services to customers with its unique features of agility and multi-tenancy. As the critical resources are hosted at provider's end, security is a big challenge in computing. If the environment is …",36,https://pdfs.semanticscholar.org/01be/7ab80b1ab81d9ba07d5e1ab96ac95bd885de.pdf,", … - International journal of …, 2014 - pdfs.semanticscholar.org","A fuzzy logic based defense mechanism against distributed allintitle: ""Denial of service"" ""cloud"" attack in allintitle: ""Denial of service"" ""cloud"" computing environment",2014
12,"A proxy server in a -based proxy service receives a message that indicates that a domain, whose traffic passes through the proxy server, may be under a --(DoS) attack. The proxy server enables a rule for the domain that specifies that future …",26,https://patents.google.com/patent/US8856924B2/en,"LH Holloway, SN Rao, MB Prince, MPF Tourne… - US Patent …, 2014 - Google Patents","Mitigating a allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" attack in a allintitle: ""Denial of service"" ""cloud"" -based proxy service",2014
13,"Currently, computing is the target business environment for many enterprises and government organizations. However, despite the huge potential gains that can be achieved, security represents a fundamental issue, which prevents the massive adoption in …",31,https://ieeexplore.ieee.org/abstract/document/7084134/,",  - IEEE Systems Journal, 2015 - ieeexplore.ieee.org","Introducing fraudulent energy consumption in allintitle: ""Denial of service"" ""cloud"" infrastructures: a new generation of allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" -allintitle: ""Denial of service"" ""cloud"" attacks",2015
14,"Security in this world of digital computing plays a typical role, since all the operations are automated and large volumes of data are being maintained in the servers. computing is one of the evolving technologies where a huge volume of storage is made on-line, data …",30,https://ieeexplore.ieee.org/abstract/document/6866508/,",  - The 2014 International Symposium …, 2014 - ieeexplore.ieee.org","Distributed allintitle: ""Denial of service"" ""cloud"" Attacks and its effects on allintitle: ""Denial of service"" ""cloud"" Environment-a Survey",2014
15,"Abstract Wireless Body Area Networks (WBANs) have emerged as a promising technology that has shown enormous potential in improving the quality of healthcare, and has thus found a broad range of medical applications from ubiquitous health monitoring to …",33,https://link.springer.com/article/10.1007/s10916-014-0128-8,", ,  - Journal of medical systems, 2014 - Springer","Distributed allintitle: ""Denial of service"" ""cloud"" (DDoS) Attack in allintitle: ""Denial of service"" ""cloud"" - Assisted Wireless Body Area Networks: ",2014
16,"In an Infrastructure as a Service (IaaS) environment, workloads change dynamically with limited insight by service providers into the precise characteristics of client workloads. At the same time, service providers must seek to honour service level agreements (SLA) …",18,https://ieeexplore.ieee.org/abstract/document/6686020/,", SD Wolthusen - … International Conference on  …, 2013 - ieeexplore.ieee.org","Robust coordination of allintitle: ""Denial of service"" ""cloud"" -internal allintitle: ""Denial of service"" ""cloud"" attacks",2013
