,abstract,citations,link,reference,title,year
0,"… on a  service is drastically increasing the bills for  usage … Extending  to public  causes the enterprise network perimeter to evaporate and …  communicationsby using Cryptography techniques like Transport Layer  (TLS), encrypted … ",50,https://www.researchgate.net/profile/Vuyyuru_Reddy/publication/299572565_Security_Architecture_of_Cloud_Computing/links/56ffe47808ae1408e15deee7/Security-Architecture-of-Cloud-Computing.pdf,",  - International Journal of Engineering …, 2011 - researchgate.net","architecture of cloud security ""VM Escape"" attack virtual machine Iaas computing",2011
1,"… It mainly focuses public  that needs significant consideration and presents required factsand figures to … services like SaaS, PaaS, or  and adds it to the  system … IJCSNSInternational Journal of Computer Science and Network , VOL.12 No.12, December … ",27,https://pdfs.semanticscholar.org/44dc/8494b2bbd8aa56320de8a209d3aa6c36628b.pdf,",  - IJCSNS, 2012 - pdfs.semanticscholar.org","threats/cloud security ""VM Escape"" attack virtual machine Iaas present in cloud security ""VM Escape"" attack virtual machine Iaas environment",2012
2,"… Hybrid  – Hybrid  comprises of the combination of minimum two , can be … MAJOR ISSUES IN : VIRTUALIZATION • VM image sharing: A VM image is used to …VM image will become source of injecting malware in the  computing system … ",13,https://ieeexplore.ieee.org/abstract/document/7570872/,"G Nenvani,  - 2016 Symposium on Colossal Data …, 2016 - ieeexplore.ieee.org","A survey on cloud security ""VM Escape"" attack virtual machine Iaas detection on cloud security ""VM Escape"" attack virtual machine Iaas using supervised learning techniques",2016
3,"… However, the  threats by  involving the VMs can lead to financial harm and impacts …In  , DoS and DDoS constitute the most common  and “largest threat”[51] … Anadditional cost to the  provider is the penalties negotiated with users, which are … ",10,https://link.springer.com/article/10.1186/s13677-017-0098-8,", , … - Journal of  …, 2017 - Springer","Classifying malware cloud security ""VM Escape"" attack virtual machine Iaas in cloud security ""VM Escape"" attack virtual machine Iaas environments",2017
4,… An in-VM measuring framework for increasing    in was given in [25] … Revenue at   side can be increased by providingcompetitive rates using COMMA policy as proposed in [27] … ,6,https://pdfs.semanticscholar.org/2cb3/3b33859dbc1607a128c2a27029f1b3906695.pdf,", DS Bhilare - International journal of …, 2015 - pdfs.semanticscholar.org",SAFETY: A framework for ,2015
5,"… It mainly focuses public  that needs significant consideration and presents required … Relevant risks include weak password recovery workflows, phishing , key loggers …International Journal on  Computing: Services and Architecture (IJCCSA),Vol.3, No.2 … ",25,https://www.researchgate.net/profile/Kashif_Munir/publication/269672042_Framework_for_Secure_Cloud_Computing/links/57a03b9608ae94f454e7c821/Framework-for-Secure-Cloud-Computing.pdf,",  - … International Journal on  …, 2013 - researchgate.net","Framework for cloud security ""VM Escape"" attack virtual machine Iaas computing",2013
6,"… It mainly focuses public  that needs significant consideration and presents required factsand figures to … Relevant  risks include weak password recovery workflows, phishing ,key loggers, etc … services like SaaS, PaaS, or  and adds it to the  system … ",22,https://www.researchgate.net/profile/Kashif_Munir/publication/276196135_Secure_Cloud_Architecture/links/57a03b9908aece1c72156edd.pdf,",  - Advanced Computing, 2013 - researchgate.net",architecture,2013
7,… authentication mechanisms to users Unauthorized access to  system and data OpenIDintegration with OpenStack  to provide  authentication … is a system designed tomaintain the integrity of Hypervisor Use techniques to harden the hypervisor  … ,19,https://link.springer.com/chapter/10.1007/978-3-642-40925-7_22,", , ,  - IFIP International Conference …, 2013 - Springer","aspects of virtualization in cloud security ""VM Escape"" attack virtual machine Iaas computing",2013
8,"…  of  has many facets … There are many problems about the virtualization in  computing at current state of art … built    designed with network  in mind, or it can be a  switch with additional  capabilities, or … ",121,https://ieeexplore.ieee.org/abstract/document/6138516/,"S Luo, Z Lin, X Chen, Z Yang… - … Conference on and …, 2011 - ieeexplore.ieee.org","Virtualization cloud security ""VM Escape"" attack virtual machine Iaas for cloud security ""VM Escape"" attack virtual machine Iaas computing service",2011
9,… HomeAlone: Co-Residency Detection in the  via Side-Channel Analysis [57] Side-channelis … A -Aware Scheduler for   on   [1] This work tries to solve …We here propose a framework to resolve the  issues raised under the memory … ,7,http://people.cs.ksu.edu/~zhangs84/papers/cloudTR.pdf, - 2012 - people.cs.ksu.edu,Deep-diving into an easily-overlooked threat: Inter-VM ,2012
