,abstract,citations,link,reference,title,year
205,… legitimate transactions). The term vulnerability refers to  holes orweaknesses in a  deployment that can be leveraged to launch  events. thrive on the existence of vulnerabilities. As such … ,10,https://www.sciencedirect.com/science/article/pii/S1389128618308259,", , , , N Fetais… - Computer Networks, 2019 - Elsevier","Systematic identification of threats in the cloud security ""VM Escape"" attack virtual machine Iaas : A survey",2019.0
288,"… IEEE, 2013, pp. 549–553. [15] MT Sandikkaya and AE Harmanci, "" Problems ofPlatform-as-a-Service (PaaS)  and Practical Solutions to … IEEE, 2012, pp. 463–468. [16]S. Soufiane and B. Halima, ""SaaS  :  and Proposed Solutions"", Trans … ",1,http://www.doiserbia.nb.rs/Article.aspx?id=0353-36701903345S,"MD Stojanović, … - Facta universitatis …, 2019 - doiserbia.nb.rs","Scada systems in the cloud security ""VM Escape"" attack virtual machine Iaas and fog environments: Migration scenarios and cloud security ""VM Escape"" attack virtual machine Iaas issues",2019.0
297,"… an introduction to virtualization  and the classification of reported  threats, basedon … A threat evaluation model based on Bayesian  graphs (BAG) is presented here … to theplatform virtualization technologies as used in the modern day  infrastructures [3 … ",4,https://www.sciencedirect.com/science/article/pii/S1389128618302998,"B Asvija, R Eswari,  - Computer Networks, 2019 - Elsevier","in hardware assisted virtualization for cloud security ""VM Escape"" attack virtual machine Iaas computing—State of the art issues and challenges",2019.0
69,"… 2.2.2 Multi-tenancy. Multi-tenancy is another feature unique to , especially in public  …Web scanners are web programs which are used to scan web applications to identify vulnerabilities. 4.4   (T04) … 4.4.2 Trusted  computing platform (TCCP) … ",1,https://link.springer.com/article/10.1007/s41870-018-0108-1,"A Singh - International Journal of Information Technology, 2019 - Springer","concerns and countermeasures in cloud security ""VM Escape"" attack virtual machine Iaas computing: a qualitative analysis",2019.0
87,"… Tari Z (2014)  and Privacy in  Computing. IEEE  Computing 1(1):54–57 … SelvamL, Kumar PM, Renjith JA (2014) Encryption-based  sharing of data with fine-grained accesscontrol in public . Journal of Applied  Research … ",1,https://link.springer.com/article/10.1007/s11036-019-01261-3,"L Joseph, R Mukesh - Mobile Networks and Applications, 2019 - Springer","Securing and Self recovery of cloud security ""VM Escape"" attack virtual machine Iaas in cloud security ""VM Escape"" attack virtual machine Iaas with an Autonomic Approach using Snapshots",2019.0
368,"… 6 1 Networking Cyber-Physical Systems: System Fundamentals of  and … Based on thevirtualization technology of the  computing architecture, the European Telecommunications …the dynamic configuration and adjustment of the network link via the  network … ",1,https://link.springer.com/content/pdf/10.1007/978-3-030-01150-5.pdf,", , , , J Shi, … - 2019 - Springer",and Privacy for Next-Generation Wireless Networks,2019.0
81,"… To guide future research, we discussed generalized  measures and requirementsto be taken to achieve  virtualized implementations …  providers, -as-a-service based on VM introspection and ensures the best  [8] … ",1,https://link.springer.com/article/10.1007/s41870-019-00294-x,", A Aggarwal,  - International Journal of Information …, 2019 - Springer","Virtualization vulnerabilities, cloud security ""VM Escape"" attack virtual machine Iaas issues, and solutions: a critical study and comparison",2019.0
190,"…  Agency (ENISA) reported that Dropbox (a large -storage service) was by DDoS … . In general, this research is based on the information exchange between  …performance is the base for decisions regarding the trustworthiness of a  … ",1,http://www.academia.edu/download/59222973/05_Paper_31031920_IJCSIS_Camera_Ready_pp67-9020190512-80804-19u1ak0.pdf,"L Alhenaki, A Alwatban, B Alahmri… - … and Information  …, 2019 - academia.edu","in cloud security ""VM Escape"" attack virtual machine Iaas computing: A survey",2019.0
333,"… Number and scale of public and private  are in high speed growth … 2.5.1 Challenges to IDS  IDS has some main challenges that are as follows: •  … result, the standard network controls are blind to this traffic, and cannot execute  control for … ",1,http://search.proquest.com/openview/447de4304cd3aa6d2d56340d0af7094f/1?pq-origsite=gscholar&cbl=52057,"Z Chiba, N Abghour, K Moussaid… - … Information , 2019 - search.proquest.com","New Anomaly Network Intrusion Detection System in cloud security ""VM Escape"" attack virtual machine Iaas Environment Based on Optimized Back Propagation Neural Network Using Improved Genetic Algorithm",2019.0
229,"…  presents a major concern echoed by many organizations migrating to  computing[1]. With the advent …  layer II ( layer), Confidentiality, VM migration  [21], VM, VR,HV, VM – VR, VM …   [26], VM, VMM,  OS, HV, VM - HV, VM – HV –  OS … ",3,https://www.sciencedirect.com/science/article/pii/S0167739X18308768,", H Chen, Z Wang - Future Generation Computer Systems, 2019 - Elsevier","Bayesian network based weighted APT cloud security ""VM Escape"" attack virtual machine Iaas paths modeling in cloud security ""VM Escape"" attack virtual machine Iaas computing",2019.0
247,"…  envi- ronment, the data must be sent using an encrypted  transmission channel …VMs-VMs or VMs- Communications (AC3): In a -computing environment, communication …If the connection does not meet critical  standards, they become a target for … ",1,https://www.researchgate.net/profile/Khalil_Al-Shqeerat/publication/331197914_A_Taxonomy_of_Virtualization_Security_Issues_in_Cloud_Computing_Environments/links/5c6b997592851c1c9deaae6b/A-Taxonomy-of-Virtualization-Security-Issues-in-Cloud-Computing-Environments.pdf,"NM Almutairy, … - Indian Journal of …, 2019 - researchgate.net","A Taxonomy of Virtualization cloud security ""VM Escape"" attack virtual machine Iaas Issues in cloud security ""VM Escape"" attack virtual machine Iaas Computing Environments",2019.0
305,"… provider must ensure the  user that their infrastructure (in case of ) is safe and  …for  cum fog environment makes use of a Trust Manager (TM) in the  layer and … ldots,FN_{n} \} \) Each fog node is associated with a zone tag indicating the  zone it … ",2,https://link.springer.com/chapter/10.1007/978-3-030-03359-0_2,", M Geethanjali, … - Computing for …, 2019 - Springer","Trust model based scheduling of stochastic workflows in cloud security ""VM Escape"" attack virtual machine Iaas and fog computing",2019.0
300,"… In order to implement  computing services that support ciphertext, Agrawal et al … Becausethe network structure can be dynamically adjusted, an attacker can dynamically plan a path to bypass the network  device to evade the network  supervision … ",3,https://link.springer.com/chapter/10.1007/978-3-030-01150-5_1,", , , , J Shi… - and Privacy for …, 2019 - Springer","Networking Cyber-Physical Systems: System Fundamentals of cloud security ""VM Escape"" attack virtual machine Iaas and Privacy for Next-Generation Wireless Networks",2019.0
224,"… Reactive or proactive. Limitations. MIGRATE [8]. Side channel  on container-.Containers … 4 OSDF evaluation. In this section, we will evaluate the effect of using OSDF on hosted VMs from  and performance perspectives. 4.1 OSDF  evaluation … ",1,https://link.springer.com/article/10.1007/s10586-018-2851-2,", , ,  - Cluster Computing, 2019 - Springer",Online Smart Disguise: real-time diversification evading coresidency-based ,2019.0
293,"… K. It indicates that an approach that considers only a cost function and neglects  risk is …In other words,  with low cost and low cybersecurity loss are favorable … in the simulationof different scenarios demonstrates that MCE outperforms both single  and internal … ",11,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.2528,"M Hosseini Shirvani, … - Software: Practice and …, 2018 - Wiley Online Library","An iterative mathematical decision model for cloud security ""VM Escape"" attack virtual machine Iaas migration: A cost and cloud security ""VM Escape"" attack virtual machine Iaas risk approach",2018.0
292,"… applications as well as for hosting applications and providing computing units for offering services … the exception of HY-BF3) are examined, and the threats to the  execution of … RECOMMENDATIONS FOR HYPERVISOR DEPLOYMENT ON SERVERS 11 … ",6,https://csrc.nist.rip/library/NIST%20SP%20800-125A.pdf," - NIST Special Publication, 2018 - csrc.nist.rip",recommendations for hypervisor deployment on servers,2018.0
391,… ΚΕΦΑΛΑΙΟ 2Ο.....15 Ασφάλεια στο  Computing.....15 2.1 … 2.2.1. SaaSκαι PaaS  .....17 2.2.2.   .....17 … ,Alle 3 versiesHTML-versie,http://okeanis.lib2.uniwa.gr/xmlui/handle/123456789/4344,Β Τσεσμελής - 2018 - okeanis.lib2.uniwa.gr,"Ασφάλεια και εφαρμογές cloud security ""VM Escape"" attack virtual machine Iaas computing",2018.0
378,"… For the build and package delivery,  compiler configurations and dependency vulnerabilitychecks will also be introduced … The objective of this chapter is to prepare our  monitoringmechanism to protect and prevent our  services from being  … ",5,https://books.google.nl/books?hl=nl&lr=&id=bO1mDwAAQBAJ&oi=fnd&pg=PP1&dq=cloud+security+%22VM+Escape%22+attack+virtual+machine+Iaas&ots=pHjA9lTifD&sig=zc6II7zVj2YdOems7iEWBoYjyjE,THC Hsu - 2018 - books.google.com,"Hands-On cloud security ""VM Escape"" attack virtual machine Iaas in DevOps: Ensure continuous cloud security ""VM Escape"" attack virtual machine Iaas , deployment, and delivery with DevSecOps",2018.0
372,… information regarding the positive influences of a   environment and the effects of … :An  is associated with the harmful actions against resources in the  … Vulnerability: Avulnerability is a   architecture loophole with an inherent … ,1,http://search.proquest.com/openview/a82ee16598e593fd5213c1221bc85312/1?pq-origsite=gscholar&cbl=18750&diss=y,ML Lucas - 2018 - search.proquest.com,Exploring the strategies cybersecurity managers recommend for implementing or transitioning to the ,2018.0
360,"… the practicality of mounting a cross-VM  in third-party compute  in … In the case ofself-servicing, the  user depends on the  service provider to manage serviceconfigurations, enforce  policies and ensure compliance to  standards … ",1,https://research.brighton.ac.uk/files/4785442/ShaunSheiPhDThesis_Corrections_21_04_18_.pdf,", , S Kapetanakis,  - 2018 - research.brighton.ac.uk","A model-driven approach towards designing and analysing cloud security ""VM Escape"" attack virtual machine Iaas systems for multi-",2018.0
270,"… the usage of digital certificates, LDAP services, time stamping for creating a  design for …Virtualization is now a critical part of  computing forming the backbone of the infrastructureas … If this  assumption is broken, then an attacker can have access to other VMs … ",2,https://link.springer.com/chapter/10.1007/978-3-319-73676-1_10,", MK Nair,  - Computing for Optimization …, 2018 - Springer","Optimization of cloud security ""VM Escape"" attack virtual machine Iaas as an Enabler for cloud security ""VM Escape"" attack virtual machine Iaas Services and Applications",2018.0
342,… 148 149 Virtualization; Hypervisor;  ;  Network;  Configuration; 150 Monitoring …  RECOMMENDATIONS FOR SERVER-BASED HYPERVISORPLATFORMS v … enterprise IT 208 infrastructure and in those offered for  service as … ,1,https://csrc.nist.gov/publications/detail/sp/800-125a/rev-1/archive/2018-04-11, - 2018 - csrc.nist.gov,recommendations for server-based hypervisor platforms,2018.0
331,"… In fact, the path could not be the most  … Nevertheless, this use of  technolo- gies raisesseveral  breaches that have to be addressed. Dabbagh and Rayes (2017) discussedsome  against the ; for instance: hidden-channel , VM ( … ",1,https://www.igi-global.com/chapter/trust-management-in-the-internet-of-things/203785,"N Djedjig, D Tandjaoui, … - and Privacy in …, 2018 - igi-global.com",Trust Management in the Internet of Things,2018.0
308,"… Manthira and Rajeswari (2014) have proposed  architecture for , in which a  … consumers to protect their   against internal and external  in pub- lic … based IDS, and it targets the Infrastructure-as-a-Service level of the  … ",2,https://www.igi-global.com/chapter/a-review-of-intrusion-detection-systems-in-cloud-computing/203791,"C Zouhair, N Abghour, K Moussaid… - and Privacy in …, 2018 - igi-global.com","A Review of Intrusion Detection Systems in cloud security ""VM Escape"" attack virtual machine Iaas Computing",2018.0
314,"… 2.3.3  private  (VPCs) … in  systems, challenges, and proposed solutions of NFVwith respect to management and orchestration, performance, resource allocation, reliability,stability, and  (Table 2) … DS-Bench [43]/D-, refail, Simian army, CloudVal … ",7,https://link.springer.com/article/10.1007/s12243-018-0629-4,"GP Xavier,  - Annals of Telecommunications, 2018 - Springer","A survey on the communication and network enablers for cloud security ""VM Escape"" attack virtual machine Iaas -based services: state of the art, challenges, and opportunities",2018.0
274,"… It is fair to say that clusters have laid the necessary foundation to build large-scale grids and  …Then, the authors will introduce different  issues and their solutions for both grid and in detail … 395  Issues in Distributed Computing System Models … ",3,https://www.igi-global.com/chapter/security-issues-in-distributed-computing-system-models/203516,",  - Cyber and Threats: Concepts …, 2018 - igi-global.com",Issues in Distributed Computing System Models,2018.0
398,… Dumpster diving 1 ■ Shoulder surfing 1 ■ Hoax 1 ■ Watering hole  1 ■ Principles …Bluejacking 1 ■ Bluesnarfing 1 ■ RFID 1 ■ NFC 1 ■ Disassociation 1 Cryptographic 1 ■ Birthday 1 … 2 Router 2 ■ ACLs 2 ■ Antispoofing 2 Switch 2 ■ Port  2 ■ Layer 2 … ,Alle 3 versiesIn bibliotheek zoeken,https://books.google.nl/books?hl=nl&lr=&id=hq1UDwAAQBAJ&oi=fnd&pg=PP1&dq=cloud+security+%22VM+Escape%22+attack+virtual+machine+Iaas&ots=dx343L_xNi&sig=F8AMYjfY00dCmjNemxy1-88hapE,"SR Christy,  - 2018 - books.google.com",CompTIA Security+ Practice Tests: Exam SY0-501,2018.0
324,"… related to network service initiation, configuration, implementation, and deploy- ment are ,which is … a guest VM either by compromising it or hiring one in a  infrastructure …  issuesin hypervisor: the   Monitor (VMM) or hypervisor plays a vital role … ",15,https://ieeexplore.ieee.org/abstract/document/8419241/,", , … - … Surveys & Tutorials, 2018 - ieeexplore.ieee.org","NFV cloud security ""VM Escape"" attack virtual machine Iaas survey: From use case driven threat analysis to state-of-the-art countermeasures",2018.0
218,… 5.1.5. Web Browsers and In- API  services are accessible with helpof web browser and API … Page 7. Int J Elec & Comp Eng ISSN: 2088-8708 ❒ Reviewon  Aspects for  Architecture (Shaz Alam) 3135 … ,2,https://pdfs.semanticscholar.org/8afe/c90e769f77c102be1a5f55b9bc348ca406dd.pdf,", ,  - International Journal of …, 2018 - pdfs.semanticscholar.org","Review on cloud security ""VM Escape"" attack virtual machine Iaas Aspects for cloud security ""VM Escape"" attack virtual machine Iaas Architecture.",2018.0
96,"… cost and scaling like public , while the  and control of private  are also … 2011)[17] introduced an approach of adjustable  with different … 2009) [5] designed a Trusted Computing Platform (TCCP) with the target of preserving confidential execution … ",16,https://ieeexplore.ieee.org/abstract/document/8301700/,", A Bardhan, K Gupta, P Saha… - 2018 IEEE 8th …, 2018 - ieeexplore.ieee.org","computing cloud security ""VM Escape"" attack virtual machine Iaas challenges & solutions-A survey",2018.0
61,"… An architecture for  active monitoring using virtualization”,Proc 29th IEEE symposium privacy PP … Thomas, Eran Tromer, Hovav Shacham, Stefan Savage ”Hey,you Get off my: Exploring Information leakage in third party compute ,” proc.16 … ",2,https://hrcak.srce.hr/205758,"L Joseph, R Mukesh - 2018 - hrcak.srce.hr","Detection of malware cloud security ""VM Escape"" attack virtual machine Iaas on cloud security ""VM Escape"" attack virtual machine Iaas for a self-heal approach in cloud security ""VM Escape"" attack virtual machine Iaas computing using vm snapshots",2018.0
202,"… algorithms must be in a secured condition, and the detections of malware in  must be … issuesis a layered framework of   is proposed to assure that the  in  … theperformance of the  computing will affect the number of users over  services … ",2,http://joiv.org/index.php/joiv/article/view/171,"M Teo, , LJ Hwee, HA Dicken, TX Hui… - … : International Journal on …, 2018 - joiv.org","A review on cloud security ""VM Escape"" attack virtual machine Iaas computing ",2018.0
256,"… 4 Fig. 2. Execution flow of VMGuard We assume that the VMM platform is trusted and .If the attacker can exploit the weakness in the VMM, then s/he can also access the  toolin the VMM … Such an access is granted from VMM of  compute server … ",2,https://ieeexplore.ieee.org/abstract/document/8344510/,"P Mishra, , … - … Transactions on  …, 2018 - ieeexplore.ieee.org","VMGuard: A VMI-based cloud security ""VM Escape"" attack virtual machine Iaas Architecture for Intrusion Detection in cloud security ""VM Escape"" attack virtual machine Iaas Environment",2018.0
37,"… First, in VMM [13] (hypervisor) where  provider is the first responsible on maintaining the …Network Virtualization is another  challenge in the virtualization since most VM monitorsuse … to its related  by devoted physical channels remains the most  way to … ",3,https://www.sciencedirect.com/science/article/pii/S1877050918311451,"A Ahmed, T Zakariae - Procedia computer science, 2018 - Elsevier","Model cloud security ""VM Escape"" attack virtual machine Iaas Issues on Behalf cloud security ""VM Escape"" attack virtual machine Iaas Provider and User cloud security ""VM Escape"" attack virtual machine Iaas Behaviors",2018.0
74,"… CloudAV, a -based antivirus system featuring multiple antivirus engines, includes alightweight  agent … Based on the above threat model, the main requirements of a  modelfor … continuity of the trusted status during the VM migration and provide  aids for … ",5,https://www.hindawi.com/journals/scn/2018/9410278/abs/,"S Zhang, X Meng, , L Xu, X Han - and Communication …, 2018 - hindawi.com",Virtualization Environment Based on Advanced Memory Introspection,2018.0
