,abstract,citations,link,reference,title,year
0,"… et al.: ' Per-  SLA: a new model for   in ' …  Customer Council, OMG: 'Practical Guide to    V2.0'. Available athttps://www.omg.org//deliverables/practical-guide-to--- … ",5,https://digital-library.theiet.org/content/journals/10.1049/iet-sen.2018.5293,"E Rios, E Iturbe, , , … - IET Software, 2019 - IET","-based cloud security ""GDPR"" regulations compliance incident risk management service level agreement and cloud security ""GDPR"" regulations compliance incident risk management service level agreement assurance in (multi) cloud security ""GDPR"" regulations compliance incident risk management service level agreement -based systems",2019
1,"… tools to monitor and check  with users' expectations, business poli- cies and  …If indeed the EU  places more emphasis on com- pliance and … eg, the European UnionAgency for Network and Information  (ENISA),   Alliance (CSA … ",20,https://ieeexplore.ieee.org/abstract/document/7037797/,", , F Gittler… - … Conference on  …, 2014 - ieeexplore.ieee.org","Towards strong accountability for cloud security ""GDPR"" regulations compliance incident risk management service level agreement providers",2014
2,"… with ,  is in the public eye, and legal duties to keep  data  are becoming … came into force on 25 May 2018 … the following CSP - (supplier-) side approaches from:AWS - AWS  Best Practices (August 2016);   Alliance - CSA … ",2,https://www.sciencedirect.com/science/article/pii/S0267364918302358,"R Kemp - Computer Law & Review, 2018 - Elsevier",Legal aspects of ,2018
3,"… ISO 27018—Protection of PII in Public  … RA approach of this paper is provided as a “toolin the toolbelt” in the process of obtaining ISO 27001 certification for -based applications …In closing, the remarks of my information  colleague Walt Williams must be read … ",1,https://ieeexplore.ieee.org/abstract/document/8617764/," - IT Professional, 2018 - ieeexplore.ieee.org","Taking cloud security ""GDPR"" regulations compliance incident risk management service level agreement to the cloud security ""GDPR"" regulations compliance incident risk management service level agreement —Using ISO cloud security ""GDPR"" regulations compliance incident risk management service level agreement (Tools and Techniques)",2018
4,"… based storage of data that requires privacy assurance is typically deployed in private  …providers and external stakeholders ( users, regulator) needed within the  ecosystemto … is not just a question of  analysis involving both    and also … ",18,https://www.sciencedirect.com/science/article/pii/S0268401216301475,", , F Gittler, … - … Information , 2016 - Elsevier",Enhancing accountability in the ,2016
5,… reported of data breaches [51] and report publish by   Alliance identifies lack of …to critical applications and sensitive in nature to be hosted over the  has always raised … clientsetup. The system is considered to be  when we reduced all the threat to a … ,,https://pdfs.semanticscholar.org/7b9c/eb47cd356975786d9d0d5dcc9cb45667860d.pdf,"SR Khan,  - … Journal of Cyber-and …, 2018 - pdfs.semanticscholar.org","Computing cloud security ""GDPR"" regulations compliance incident risk management service level agreement Issues and Challenges: A Bibliographic Review",2018
6,"… [18] Directive 95/46/EC – General DataProtection  (), European Parliament … 27001,2013: https://www.iso.org/isoiec-27001-information-.html … G. Spanoudakis, and C. Kloukinas,“Monitoring-based certification of   ,” OTM Confederated … ",,https://ieeexplore.ieee.org/abstract/document/8858165/,"G Hatzivasilis, P Chatziadam… - 2019 IEEE 24th …, 2019 - ieeexplore.ieee.org","Cyber insurance of information systems: cloud security ""GDPR"" regulations compliance incident risk management service level agreement and privacy cyber insurance contracts for ICT and helathcare organizations",2019
7,"… to date, should be retained no longer than necessary; giving the data subject access to his/herdata, keeping data ; and no …   mgmt … The  contracts currently committedto by CSPs do not seem to be sufficient as fair, safe and transparent  contracts … ",,https://link.springer.com/chapter/10.1007/978-3-319-55783-0_13," - … Summer School on Privacy and Identity , 2016 - Springer",Computing Contracts,2016
8,"… Ernst & Young FSO – Financial  Organizations GDP – Gross Domestic Product  –General Data … is a need for additional information about the effectiveness of  controls at …world, Chou [9] emphasized that auditors must be familiar with  computing and … ",,http://essay.utwente.nl/76511/,SN Bannink - 2018 - essay.utwente.nl,"in cloud security ""GDPR"" regulations compliance incident risk management service level agreement Environments: Towards the Adoption of Continuous Auditing and Assurance With EU-SEC",2018
9,… of tailored  deployment options to meet your specific needs including private  solelydeployed … impossible to achieve  with the  in the event of a  breach where …We have looked at traditional  operational  and the new  relating to … ,3,https://ieeexplore.ieee.org/abstract/document/8514414/,"B Duncan, Y Zhao - 2018 International Conference on High …, 2018 - ieeexplore.ieee.org","for cloud security ""GDPR"" regulations compliance incident risk management service level agreement with the EU General Data Protection ",2018
10,"… private, community, public and hybrid  [2]. The combination of such  computingfeatures enables … guidance such as guidance about data protection and   [39-42] …contractual  be- tween the series of actors taking part in the  chain should … ",8,https://link.springer.com/chapter/10.1007/978-3-319-11599-3_1," - Nordic Conference on IT Systems, 2014 - Springer","Accountability in cloud security ""GDPR"" regulations compliance incident risk management service level agreement provision ecosystems",2014
11,"… same device access methods also apply when employees access public SaaS  [1] … storageand manipulation of specific types of company data on the  environment and … Consequently,despite the current  of effectiveness of the proposed  architecture, an … ",14,https://ieeexplore.ieee.org/abstract/document/7020886/,"V Samaras, S Daskapan, R Ahmad… - 2014 Australasian …, 2014 - ieeexplore.ieee.org","An enterprise cloud security ""GDPR"" regulations compliance incident risk management service level agreement architecture for accessing SaaS cloud security ""GDPR"" regulations compliance incident risk management service level agreement with BYOD",2014
12,"… Even when data is stored in the  or on endpoints, cryptographic keys should be kept withthe organisation responsible for collecting or … CSC 11,  configurations for network devicessuch as firewalls, routers and switches … CSC 18, Application  software … ",107,https://www.sciencedirect.com/science/article/pii/S1353485816300563,"C Tankard - Network , 2016 - Elsevier","What the cloud security ""GDPR"" regulations compliance incident risk management service level agreement means for businesses",2016
13,"A second intention is to safeguard the privacy of individuals in an increasingly datadriven economy, a citizen-centric design that has major implications for data governance as well as planning for incidents such as data breaches. Organisations will be required to guarantee …",3,https://www.cio.co.uk/cmsdata/whitepapers/3593321/symantec_-_eu_general_data_protection_regulation.pdf,EU  - 2018 - cio.co.uk,EU General Data Protection ,2018
14,"… Platform (eg, )  Encryption,  testing procedures and audits,  with and certification … and to regularly test, assess and evaluate the effectiveness of measures … have had no or little time to fully mature into relatively  techniques … ",2,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jipitec8&section=12,"J César, J Debussche - J. Intell. Prop. Info. Tech. & Elec. Com. L., 2017 - HeinOnline","Novel EU legal requirements in big data cloud security ""GDPR"" regulations compliance incident risk management service level agreement : big data-big cloud security ""GDPR"" regulations compliance incident risk management service level agreement headaches",2017
15,… (2016). Privacy and  in Personal Data : Final Report … (2017b). Guidelinesfor SMEs on the  of personal data processing … (2018a). Guidelines on the use of computing : by the European institutions and bodies … ,,http://ejlt.org/article/view/665,"S von Maltzan - European Journal of Law and Technology, 2019 - ejlt.org","No Contradiction Between Cyber-cloud security ""GDPR"" regulations compliance incident risk management service level agreement and Data Protection? Designing a Data Protecton cloud security ""GDPR"" regulations compliance incident risk management service level agreement Response System",2019
16,"… Internet of things data protection and privacy in the era of the  … this  requirementrequires a   to understand the robustness of data  in the … For storage andredundancy of IoT data in the  across geographical boundaries, care should be … ",17,https://www.ingentaconnect.com/content/hsp/jdpp/2016/00000001/00000001/art00009," - Journal of Data Protection & Privacy, 2016 - ingentaconnect.com",Internet of things data protection and privacy in the era of the General Data Protection ,2016
17,"… usage of   for health care, thereby defining necessary  measures, and using  … patients to avoid doctors because they are afraid of their information not being … no legal basis for collecting and using the information; lack of  of the … ",9,https://ieeexplore.ieee.org/abstract/document/8252898/,"IN Shu, H Jahankhani - 2017 Cybersecurity and Cyberforensics …, 2017 - ieeexplore.ieee.org","The Impact of the new European General Data Protection cloud security ""GDPR"" regulations compliance incident risk management service level agreement (cloud security ""GDPR"" regulations compliance incident risk management service level agreement ) on the Information Governance Toolkit in Health and Social care with special reference …",2017
18,"… partnership between providers and consumers in designing, building, deploying, and operating presents new … This case might include changing  measures or data handlingpractices … required not only with respect to the identified objects of the  ecosystem (ie … ",11,https://link.springer.com/chapter/10.1007/978-3-319-17199-9_1,",  - … School on Accountability and in the , 2014 - Springer",Accountability for data governance in the ,2014
19,"… and deployment model, along with each  actor's precise role in orchestrating a ecosystem … The second part displays  associated with the  controls used by the CSP …One of the major problems of periodical audits in  computing is the dynamic change … ",3,https://link.springer.com/chapter/10.1007/978-3-319-25988-8_9,", ,  - Guide to Assurance for  …, 2015 - Springer","Improving cloud security ""GDPR"" regulations compliance incident risk management service level agreement assurance and transparency through accountability mechanisms",2015
20,"…  will require time and appropriate approach from the city councils in order to bring thedesired effect to the field of  IoT … More importantly, due to the  prevalence and datastorage worldwide, it is debatable whether privacy and data  are even … ",14,https://www.sciencedirect.com/science/article/pii/S0167404818310423,"M Vitunskaite, , T Brandstetter,  - Computers & , 2019 - Elsevier","Smart cities and cyber cloud security ""GDPR"" regulations compliance incident risk management service level agreement : Are we there yet? A comparative study on the role of cloud security ""GDPR"" regulations compliance incident risk management service level agreement , third party cloud security ""GDPR"" regulations compliance incident risk management service level agreement and cloud security ""GDPR"" regulations compliance incident risk management service level agreement ownership",2019
21,"… Obviously, following best practices to recognised industry  and implementing morerather than less  measures can only be … 11 confirm physical rather than logical .Furthermore,  providers must fund any ICO inspections, unlike under the  … ",,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3200149,"WK Hon - Available at SSRN 3200149, 2018 - papers.ssrn.com","Providers Under the NIS Directive–The UK's Implementation (With cloud security ""GDPR"" regulations compliance incident risk management service level agreement Comparisons)",3200
22,"… designed to monitor  and on-premises environments from the AlienVault   …Support for NIST SP 800-171 and the EU's General Data Protection  (), as …auditing for AD; and   Plus, which manages log event data from public  … ",59,https://www.energycollection.us/Energy-Security/MQ-SIEM-2017.pdf,"KM Kavanagh, O Rochford… - Gartner Group Research …, 2015 - energycollection.us","Magic quadrant for cloud security ""GDPR"" regulations compliance incident risk management service level agreement information and event ",2015
23,"…  and technical vulnerabilities; however, it is reasonable to assume a   provideris … to reduce cyber spending by reducing the reliance on third-party  testing (eg … in the contextof European Union Global Data Protection  () requirements for … ",,https://link.springer.com/chapter/10.1007/978-1-4842-4194-3_5,"P Rohmeyer,  - Financial Cybersecurity , 2019 - Springer",What Can We Do?,2019
24,"… or proprietary technology that enables data and application portability (eg,  bursting forload-balancing between )."" [27] … 3. Exclusion strategy: The articles were first selected basedon their titles, it should make reference to  computing or  … ",,http://www.diva-portal.org/smash/record.jsf?pid=diva2:1071684,F Guillaume - 2017 - diva-portal.org,"Public Software as a cloud security ""GDPR"" regulations compliance incident risk management service level agreement a Business-Driven Guidance for cloud security ""GDPR"" regulations compliance incident risk management service level agreement Control",2017
25,"… the analysis, we can see that there is not much effort in enforcement of  SLAs in … Theseproperties are not bound to any specific encryption algorithms or  architectures … R requester (end user) Pi  providers h(x)  hash function known to both parties … ",,https://ieeexplore.ieee.org/abstract/document/8937713/,"S Alasmari, , T Qin… - … Dependable and  …, 2019 - ieeexplore.ieee.org","Proof of Encryption: Enforcement of cloud security ""GDPR"" regulations compliance incident risk management service level agreement for Encryption Outsourcing",2019
26,"… The individual  hold their individual identity, but interfaces for application and data portabilitybetween themselves are … related  metrics … Monitoring tools should be capable of providingan integrated analytical view of heterogenous  resources, applications, and … ",1,http://search.proquest.com/openview/66665ae705198eee3f12585401b42130/1?pq-origsite=gscholar&cbl=25782,", R Goyal - Software Quality Professional, 2019 - search.proquest.com","Assurance of Data cloud security ""GDPR"" regulations compliance incident risk management service level agreement and Privacy in the cloud security ""GDPR"" regulations compliance incident risk management service level agreement : A Three-Dimensional Perspective",2019
27,… IaaS vendors SMEs certainly take into account the technical specifications and  featuresof … Contracts for : Comparison and analysis of the terms and conditions of  … Terms andPerformance Criteria in   - ments for  Computing  … ,3,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jurdint24&section=6," - Juridica Int'l, 2016 - HeinOnline","The Forthcoming General Data Protection cloud security ""GDPR"" regulations compliance incident risk management service level agreement in the EU",2016
28,"… Information  controls should include network  such as website,  and IoT, if … He is a lead auditor in various ISO  and  as well as a  … He isPMI-RMP certified and his research interests include information ,  analysis and … ",,https://www.sciencedirect.com/science/article/pii/S1361372319300867,", , T Kargidis - Computer Fraud & , 2019 - Elsevier","A readiness cloud security ""GDPR"" regulations compliance incident risk management service level agreement tool for cloud security ""GDPR"" regulations compliance incident risk management service level agreement certification",2019
29,"… practice for protection of personally identifiable information (PII) in public  acting as … The  Alliance also updates the framework regularly to assure  with new …address this emerging cyber  area.” The Department of Homeland , (June 30 … ",Alle 2 versies,https://link.springer.com/chapter/10.1007/978-3-319-51064-4_7,"I Kabanov - International Conference on Global , Safety …, 2017 - Springer","Scalable Frameworks for Application cloud security ""GDPR"" regulations compliance incident risk management service level agreement and Data Protection",2017
30,"… the market demand. Figure 5: Operators vs Suppliers 2.5 Supply Side Concern It is difficult tocharacterize the suppliers concern in terms of  with , or  with PIAand PbD practice …  Safeguard privacy information and operations … and the  … ",1,https://eu-smartcities.eu/sites/eu-smartcities.eu/files/2018-02/PRIPARE%20recommendations%20for%20Smart%20cities%20v0.2.pdf,"A Kung - Paris: Preparing Industry to Privacy-by-design by …, 2016 - eu-smartcities.eu","Privacy cloud security ""GDPR"" regulations compliance incident risk management service level agreement in Smart cities and Communities",2016
31,"… 14. Given that some  will be necessary in the future, (Ex: for balance the power between  providers and customers computing, it would be smart to consider your weaknessesand …  : A comprehensive guide to   computing … ",,https://www.researchgate.net/profile/Yousef_Majdalawi/publication/335292325_Privacy_Risks_and_Challenges_that_Face_Using_of_Cloud_Computing/links/5d5cf291299bf1b97cfa32d7/Privacy-Risks-and-Challenges-that-Face-Using-of-Cloud-Computing.pdf,",  - researchgate.net",", Privacy cloud security ""GDPR"" regulations compliance incident risk management service level agreement and Challenges that Face Using of cloud security ""GDPR"" regulations compliance incident risk management service level agreement Computing",
32,"… Platform (eg, )  Encryption,  testing procedures and audits,  with and certification … and to regularly test, assess and evaluate the effectiveness of measures … had no or little time to fully mature into relatively  techniques.10 … ",,https://www.jipitec.eu/issues/jipitec-8-1-2017/4534/JIPITEC_8_1_2017_Cesar_Debussche.pdf,"J César, J Debussche - 2017 - jipitec.eu",Novel EU Legal Requirements in Big Data ,2017
33,"… As an example, -based  can often be engaged outside of … s network – eg dataseparation, remote access and multifactor authentication,  configuration  etc … theirsub-processors to implement comprehensive IT and information -related controls … ",,http://redfame.com/journal/index.php/bms/article/view/4683,"L Andreisová - Business and Studies, 2020 - redfame.com","Analysis of the Impact of the cloud security ""GDPR"" regulations compliance incident risk management service level agreement on Third-Party cloud security ""GDPR"" regulations compliance incident risk management service level agreement Programs and Related Recommendations for Domestic as Well as International Corporate World",2020
34,… only a limited number of use cases. ( Use of  Computing in the Finance … minorrefactoring is done in considering the unique characteristics of  computing and  based … Due the fact that  and non- are sensitive topics in financial … ,,https://www.theseus.fi/bitstream/handle/10024/146660/lines%20and%20data%20protection%20regulation%20in%20Europe%20-%20Context%20of%20online%20banking%20self-service%20channels.pdf?sequence=1,T Pulkkinen - 2018 - theseus.fi,"outsourcing guidelines and data protection cloud security ""GDPR"" regulations compliance incident risk management service level agreement in Europe: Context of online banking self-cloud security ""GDPR"" regulations compliance incident risk management service level agreement channels",2018
35,"… -related  that increase the trust in public  are of particular … , perform  maintenance, maintain system , etc.[5]. Providers mayor may not deal with a  partner depending on the   … ",,https://repository.lib.fit.edu/handle/11141/2314, - 2017 - repository.lib.fit.edu,"Decision Support for Shared Responsibility of cloud security ""GDPR"" regulations compliance incident risk management service level agreement Metrics",2017
36,"… [23] S. Bradshaw, C. Millard and I. Walden, “Contracts for : Comparison and … [26] CRISP,(2017) “ Computing Vendor & … 31 Cooperation with the supervisory authority 81 Suspensionof proceedings 32  of processing 82 Right to compensation and liability … ",,https://dergipark.org.tr/en/download/article-file/719662,", İ Omak - İleri Teknoloji Bilimleri Dergisi - dergipark.org.tr",BULUT HİZMET SAĞLAYICILARININ HÜKÜM VE KOŞULLARINDA SİBER GÜVENLİKLE İLGİLİ HUSUSLAR,
37,"… They should also assess  issue in light of  and other  framework … of SOX, Non-SOX & Transactional data © Strong … They also need to provide ahigh- implementation approach in case the  move gets finalized … ",,https://www.researchgate.net/profile/Nikhil_Padhi/publication/328725538_Should_Manufacturing_Applications_be_hosted_on_Cloud/links/5bdde3264585150b2b9d3afe/Should-Manufacturing-Applications-be-hosted-on-Cloud.pdf, - researchgate.net,Should Manufacturing Applications be hosted on ,
38,"… Does the CSP use resource isolation mechanisms in order to  the information you entrustit … The situations that are most likely to threaten individuals in the  or that, if they occur … of therights to privacy and data protection or dealing with information , for instance … ",16,https://link.springer.com/chapter/10.1007/978-3-319-31456-3_4,"R Alnemr, , , A Garaga… - Annual Privacy …, 2015 - Springer","A data protection impact cloud security ""GDPR"" regulations compliance incident risk management service level agreement methodology for ",2015
