,abstract,citations,link,reference,title,year
111,"… Thus, for example, the expansion memory 574 may be provide as a  module for … In addition, applications may be provided via the SIMM cards, along with additional … of communication include a local area  (LAN), a wide area  (WAN), and … ",17,https://patents.google.com/patent/US10341357B2/en,"PM Martini - US Patent 10,341,357, 2019 - Google Patents",Selectively performing man in the middle decryption,2019.0
752,… blocking Effects 0 description 2; 239000008264  Substances 0 description2; 230000001276 controlling effects Effects 0 description 2; 235000014510 cookiesNutrition 0 description 2; 230000004048 modification Effects 0 … ,Alle 2 versiesIn cache,https://patents.google.com/patent/US20190349772A1/en,"M Fong, NH Fong - US Patent App. 16/409,640, 2019 - Google Patents",Active base providing local man-in-the-middle firewall,2019.0
208,… All applications that support the Socket   Protocol can be used inside TOR … Thissolution is not only TOR limited—it makes sense even in other  services. In a world wherecomputer threats are permanently increasing it is good to have high  standards … ,Alle 3 versies,https://link.springer.com/chapter/10.1007/978-3-030-01659-3_45,"GN Nedeltcheva, E Vila, M Marinova - Smart Technologies and Innovation …, 2019 - Springer","The Onion Router: Is the Onion cloud security ""Man in the Middle attack"" network authentication PaaS Suitable for cloud security ""Man in the Middle attack"" network authentication PaaS Technologies",2019.0
304,"… M. Kaplan, Evan Saltzman, Zev Winkelman, and Dulani Wood, -Trust—a Assessment Model for Infrastructure as a Service(IaaS) , IEEE Transactions On … [12] DimitriosZissis, Dimitrios Lekkas Addressing  Computing  Issues, Journal … ",Alle 2 versiesHTML-versie,http://gujaratresearchsociety.in/index.php/JGRS/article/view/307,"JN Varshapriya - Journal of the Gujarat Research …, 2019 - gujaratresearchsociety.in","Vulnerabilities, Threats, Attacks in cloud security ""Man in the Middle attack"" network authentication PaaS Computing",2019.0
232,"… this solution that was assumed to eradicate the problem of latency gave birth to a  servicevulnerability … As of late, different  worries that could prompt a -- - if PKIs … A program that initiates a  Socket Layer (SSL) handshake was developed … ",Alle 2 versiesHTML-versie,http://trap.ncirl.ie/3901/,S Folarin - 2019 - trap.ncirl.ie,"Improved SSL/TLS cloud security ""Man in the Middle attack"" network authentication PaaS -cloud security ""Man in the Middle attack"" network authentication PaaS -cloud security ""Man in the Middle attack"" network authentication PaaS -cloud security ""Man in the Middle attack"" network authentication PaaS detection technique using timing analysis and other behavioral anomalies",2019.0
292,"… for single-server environment; they claimed to have the capacity to prevent various  attacks …smart card and sends it to i U over a  channel … suffers from a traceability attack, an offlineidentity-guessing attack, an impersonation attack, and a ---  … ",Alle 3 versiesHTML-versie,https://jit.ndhu.edu.tw/article/view/2088,", B Xiang, , Y Zhang… - Journal of  …, 2019 - jit.ndhu.edu.tw","An Efficient and cloud security ""Man in the Middle attack"" network authentication PaaS Smart Card Based cloud security ""Man in the Middle attack"" network authentication PaaS Scheme",2019.0
260,"… [2], Wei, F. (2016) Thoughts on Grid Information  Prevention Caused by Power Outagesin Ukraine … China Electric Power Press, Beijing. [5], Sha, K., Xu, C. and Wang, Z. (2014) One-TimeSymmetric Key Based  Supported  Smart Meter Reading … ",Alle 2 versiesIn cache,https://www.scirp.org/journal/paperinformation.aspx?paperid=95172,"W Dong, Y Wang, L Zhou, K Cao, H Li - Journal of Computer and …, 2019 - scirp.org",An Anti-Eavesdropping Method in Data Collection of Smart Meter,2019.0
266,… Current method of digital identity management is not good enough for hybrid  … 3)---  A ---  is a major  issue that occurswhen an attacker is placed between two parties in a  environment … ,Alle 2 versies,https://ieeexplore.ieee.org/abstract/document/8769497/,"L Alhenaki, A Alwatban, B Alamri… - … & Information  …, 2019 - ieeexplore.ieee.org","A Survey on the cloud security ""Man in the Middle attack"" network authentication PaaS of cloud security ""Man in the Middle attack"" network authentication PaaS Computing",2019.0
267,… A1 US 2019327249A1 Authority US United States Prior art keywords database session mitm server … 239000008264  Substances 0 … H04L63/00— architectures or communication protocols for  ; H04L63/14— architectures or … ,Alle 2 versiesIn cache,https://patents.google.com/patent/US20190327249A1/en,"L Rodniansky - US Patent App. 16/457,952, 2019 - Google Patents","Man-in-the-middle (MITM) checkpoint in a cloud security ""Man in the Middle attack"" network authentication PaaS database service environment",2019.0
271,"… 239000008264  Substances 0 abstract claims description title 133; 238000004891communication Methods 0 … a set of  database clients to a set of  database services; …operating system platform, applications,  and an associated  engine that … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190319969A1/en,"L Rodniansky - US Patent App. 15/953,132, 2019 - Google Patents","Man-in-the-middle (MITM) checkpoint in a cloud security ""Man in the Middle attack"" network authentication PaaS database service environment",2019.0
