,abstract,citations,link,reference,title,year
693,"… This scheme is more , and no additional device is required to carry out  … WLANand cellular, so heterogeneity is a congenital feature of mobile  computing that … As mobiledevices may be roaming between different networks,41  issues may arise … ",1,https://onlinelibrary.wiley.com/doi/abs/10.1002/dac.4033,", , … - International Journal …, 2019 - Wiley Online Library","Multi‐tier cloud security ""Phishing"" attack access control authentication schemes for fog computing: Architecture, cloud security ""Phishing"" attack access control authentication perspective, and challenges",2019.0
686,… The system got protected with full  enhancement feature to avoid Dos  … The Server will maintain all the encrypted information with the protecting capability … IX. References[1]https://securingtomorrow.mcafee.com/consumer/ mobile-and-iot-/zombie-iot … ,1,http://ijics.com/gallery/11-april-1025.pdf," - International Journal of Information and Computing …, 2019 - ijics.com",A Survey on Botnet ,2019.0
523,… database  app Physical … One Time passwords have been recognised as quite  dueto its two factor  methodology and also the reach to the user and cause leastanomalies … https://www.incapsula.com/web-application-/--scam.html … ,1,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3360306,"V Agrawal, RK Paliwal, P Sharma… - …  …, 2019 - papers.ssrn.com","Web cloud security ""Phishing"" attack access control authentication Using User cloud security ""Phishing"" attack access control authentication Methodologies: CAPTCHA, OTP and User Behaviour ",2019.0
143,… A survey on  issues and countermeasures in  computing stor- age and a tour towardsmulti- … Disruptive  Computing and IT:  Computing SIMPLIFIED for every ITProfessional … 263 A  Framework for   Computing Environments … ,59,https://www.igi-global.com/chapter/a-security-framework-for-secure-cloud-computing-environments/224576,"M Jouini,  - : Concepts, methodologies, tools …, 2019 - igi-global.com","A cloud security ""Phishing"" attack access control authentication framework for cloud security ""Phishing"" attack access control authentication computing environments",2019.0
229,"… of the computing device 10 (eg, can be  via a network or a ) … US20030097564A1(en) *, 2000-08-18, 2003-05-22, Tewari Anoop Kailasnath,  content delivery … Smart carddata transaction system and methods for providing storage and transmission  … ",9,https://patents.google.com/patent/US10277584B2/en,"MD Stiegler, GR Dolan - US Patent App. 10/277,584, 2019 - Google Patents",request,2019.0
676,"… 10], of which we indicate below the mode Code Authorization considered the most  [23] …Applications Servers: Different application servers can be deployed in the . This approachrequires a minimum  effort since web servers are distributed in an ”unsecured … ",1Alle 14 versies,https://ieeexplore.ieee.org/abstract/document/8802823/,"S Kambou, A Bouabdallah - … and Network (CNS), 2019 - ieeexplore.ieee.org","Using structural diversity to enforce strong cloud security ""Phishing"" attack access control authentication of mobiles to the ",2019.0
547,"… . In general, this research is based on the information exchange between  … providers policy. In this , the attackers target the mechanisms used by the user to … International Journal of Computer Science and Information  (IJCSIS), Vol … ",1,https://www.academia.edu/download/59222973/05_Paper_31031920_IJCSIS_Camera_Ready_pp67-9020190512-80804-19u1ak0.pdf,"L Alhenaki, A Alwatban, B Alahmri… - … and Information  …, 2019 - academia.edu","IN cloud security ""Phishing"" attack access control authentication COMPUTING: A SURVEY",2019.0
770,"… Our analysis shows that the preference of using Blockchain methods instead of centralized solutions might be commonly agreed upon in the future due to a safer approach … Acceleratedfacilitation of operations and   ,  data storage … ",1,https://ieeexplore.ieee.org/abstract/document/8711834/,"M Gulzar, G Abbas - 2019 International Conference on …, 2019 - ieeexplore.ieee.org","Internet of Things cloud security ""Phishing"" attack access control authentication : A Survey and Taxonomy",2019.0
681,"… IEEE, 2013, pp. 549–553. [15] MT Sandikkaya and AE Harmanci, "" Problems ofPlatform-as-a-Service (PaaS)  and Practical Solutions to … IEEE, 2012, pp. 463–468. [16]S. Soufiane and B. Halima, ""SaaS  :  and Proposed Solutions"", Trans … ",1Alle 4 versiesHTML-versie,http://www.doiserbia.nb.rs/Article.aspx?id=0353-36701903345S,"MD Stojanović, … - Facta universitatis …, 2019 - doiserbia.nb.rs","Scada systems in the cloud security ""Phishing"" attack access control authentication and fog environments: Migration scenarios and cloud security ""Phishing"" attack access control authentication issues",2019.0
462,"… 11] Z. Chen, F. Han, J. Cao, X. Jiang, S. Chen, “ computing- based forensic analysis forcollaborative network   system … K. Kourai, T. Azumi, and S. Chiba, “Aself-protection mechanism against stepping-stone  for IaaS ”, in Ubiquitous … ",3,https://ieeexplore.ieee.org/abstract/document/8776897/,", M Saran, R Kumar - … Conference on  …, 2019 - ieeexplore.ieee.org","A survey on cloud security ""Phishing"" attack access control authentication over sensor-",2019.0
