,abstract,citations,link,reference,title,year
0,"…  are not like a private network, they have more interfaces than private network … [6] computing  forum http://.org … 068351-8) [8] Yashpalsinh jadeja & kirti modi(2012)  computing- concepts, architecture and challenges … ",26,https://arxiv.org/abs/1403.5627,", G Gupta, PR Laxmi - arXiv preprint arXiv:1403.5627, 2014 - arxiv.org","A survey on cloud security ""Port Scanning"" attack malware Iaas issues and techniques",1403
1,"… issues, the abuse and nefarious use of  computing is regarded as the top threat [5], asattackers exploit vulnerabilities in  and utilize … [16] CN Hoefer, and G. Karagiannis,“Taxonomy of  computing services … An OpenFlow-based architecture for  ,” Proc … ",18,https://ieeexplore.ieee.org/abstract/document/7296133/,", C Wang, IJ Liao, CW Lin… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org","An OpenFlow-based collaborative intrusion prevention system for cloud security ""Port Scanning"" attack malware Iaas networking",2015
2,"…  Categories … Table 1. Known  on  … the  that can inject an application,malicious service, or even virtual machine into the  system according to service modelssuch as , SaaS or PaaS7. Then, the attacker has to deceive the  environ- ment … ",4,https://www.researchgate.net/profile/Omar_Achbarou/publication/317917020_Cloud_Security_A_Multi_Agent_Approach_Based_Intrusion_Detection_System/links/5b108f36aca2723d9978ca6f/Cloud-Security-A-Multi-Agent-Approach-Based-Intrusion-Detection-System.pdf,", MA El Kiram… - Indian Journal of Science …, 2017 - researchgate.net",: a multi agent approach based intrusion detection system,2017
3,"… that most protection techniques/frameworks have not been designed to treat -exclusive …  that can try to exploit the multi- tenant nature of ' VMMs: covert … Accordingto the Trusted Computer  Evaluation Criteria, TCSEC, a covert channel is created … ",304,https://link.springer.com/article/10.1007/s00607-010-0140-x,", , D Morán - Computing, 2011 - Springer",Locking the sky: a survey on ,2011
4,… 11 BGP prefix hijacking Permitting the malicious users to access Faulty IP addresses Autonomous system … Standard encryption technique is required to  ports … Produce large responseby persuading the distributed network device in a  environment … ,6,http://search.proquest.com/openview/b6481c1d8efc1bcc3a455cea189bcce3/1.pdf?pq-origsite=gscholar&cbl=2035011,",  - the international journal of science …, 2015 - search.proquest.com","A study on securing cloud security ""Port Scanning"" attack malware Iaas environment from DDoS cloud security ""Port Scanning"" attack malware Iaas to preserve data availability",2015
5,"…  socket layer (SSL) can be a solution for  transmission of data, but SSL requiresboth the parties to … Passive  - Wiretapping and   … [3] Sanjay P. Ahuja, DeepaKomathukattil, “A survey of the state of  ”, Network Communication … ",2,https://www.researchgate.net/profile/Satwinder_Singh10/publication/297812146_State-of-the-art_Survey_on_Security_Issues_in_Cloud_Computing_Environment/links/56e3a0a408aedb4cc8a86003/State-of-the-art-Survey-on-Security-Issues-in-Cloud-Computing-Environment.pdf,", VK Attri - … International Conference on Futuristic Trends in …, 2015 - researchgate.net","State-of-the-art survey on cloud security ""Port Scanning"" attack malware Iaas issues in cloud security ""Port Scanning"" attack malware Iaas computing environment",2015
6,"… in  in any of the stacNed layer would indeed impact the  of the … all their resourcesas well as their business applications and services on , unavailability will … the virtualnetworNs which are shared among multiple tenants in the  environments would … ",23,https://ieeexplore.ieee.org/abstract/document/7423296/,"RM Jabir, , LA Ahmad… - 2016 18th …, 2016 - ieeexplore.ieee.org","Analysis of cloud security ""Port Scanning"" attack malware Iaas computing cloud security ""Port Scanning"" attack malware Iaas and countermeasures",2016
7,"… IV, we carried out different way of  in  … This IDS integrates knowledge and behavioranalysis to increases a 's . References [1] S. Roschke, F. Cheng, and C. Meinel,“Intrusion detection in the ,” in 2009 Eighth IEEE International Conference on … ",4,http://www.ijarcst.com/doc/vol2-issue2/ver.2/tarun.pdf,"TVS Jeganathan, A Prakasam - International Journal of Advanced …, 2014 - ijarcst.com","the cloud security ""Port Scanning"" attack malware Iaas Computing Environment from Attackers using Intrusion Detection System",2014
8,"… , ping-of-death , e-mail bomb, FTP and telnet password guessing, and   …In particular, IDSaaS is an on-demand, portable, controllable by the  consumer and … toolto view the generated alerts and correlate them, allows the  administrator to … ",22,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.695.5704&rep=rep1&type=pdf,"U Kumar,  - International Journal of Computer Applications, 2015 - Citeseer","A survey on intrusion detection systems for cloud security ""Port Scanning"" attack malware Iaas computing environment",2015
9,"… If that computer goes offline, the  programming automatically redistributes that computer'sdata to a new … Browser : Use of WS- concept on web browsers by vendors.  Injection  authenticity check for received messages is required … ",1,https://www.researchgate.net/profile/Dr_Mukesh_Kumar/publication/262979956_CLOUD_COMPUTING_SECURITY_RISKS_AND_ITS_FUTURE/links/0f31753b256967fd1f000000.pdf,"N Karwasra, M Sharma - … , Special Issues on Emerging Trends in …, 2012 - researchgate.net","computing: cloud security ""Port Scanning"" attack malware Iaas risks and its future",2012
10,"… III.  RELATED TO THE   CATEGORIES: In what follows, we presenta list of   … KNOWN  ON  … Then, the adversary has to trick the system so that it treats the new service implementation instance as one of the valid … ",,https://www.researchgate.net/profile/Omar_Achbarou/publication/278032731_Different_Attacks_On_Cloud_Computing/links/5b2f96fc4585150d23cbc411/Different-Attacks-On-Cloud-Computing.pdf,", MA EL KIRAM,  - researchgate.net","A survey of cloud security ""Port Scanning"" attack malware Iaas Computing ",
11,"… put their own customized software„s and other applications on the  [2]. c … along with thedata of other unrelated SaaS applications [8]. The  provider might … Services (AWS), thenetwork layer provides significant protection against traditional network  issues, such … ",5,https://pdfs.semanticscholar.org/25c0/dd097738134497ddb4e1f46be18ec2ab1968.pdf,"H Kaur, N Bhardwaj - International Journal of Advanced …, 2015 - pdfs.semanticscholar.org","A review on cloud security ""Port Scanning"" attack malware Iaas issues in cloud security ""Port Scanning"" attack malware Iaas computing",2015
12,"… Agency for Network and Information  (ENISA)  Framework for Government as a …   providers may have their brands abused, and  services may host  …In general,  services can be used to conduct nefarious activities such as … ",4,https://link.springer.com/chapter/10.1007/978-3-319-57186-7_58,"PN Borazjani - … Conference on Green, Pervasive, and  …, 2017 - Springer","issues in cloud security ""Port Scanning"" attack malware Iaas computing",2017
13,"… Unfortunately, the  prevention in  is still in its infancy … This enables the services to make detection in time … our prototype through extensive experiments by measuringthe compliance with functions and the performance overhead of enabling ESI- services … ",1,https://ieeexplore.ieee.org/abstract/document/7557533/,"J Ren, L Liu, D Zhang, … - 2016 IEEE International …, 2016 - ieeexplore.ieee.org","ESI-cloud security ""Port Scanning"" attack malware Iaas : Extending Virtual Machine Introspection for Integrating Multiple cloud security ""Port Scanning"" attack malware Iaas Services",2016
14,… This open port can be used to theft the data. Leads the stealing of the data in the  so theservice provider must implement the strong encryption techniques on the open ports[1] … Socket layer protocol is used to provide the communication  over the … ,,https://www.academia.edu/download/53591949/IRJET-V4I5671.pdf,"A Sultana, K Raghuveer - 2017 - academia.edu","Risks in cloud security ""Port Scanning"" attack malware Iaas Delivery Models",2017
15,"… Fyodor, original contributor of the audit tool Nmap, considers in [8] that   lets attackers …Rimal, E. Choi, and I. Lumb, “A taxonomy and survey of  computing systems … NetworkScanning: The Official Nmap Project Guide to Network Discovery and  Scanning … ",33,https://ieeexplore.ieee.org/abstract/document/6296915/,", G Grimaud,  - 2012 Sixth International …, 2012 - ieeexplore.ieee.org","Large-scale coordinated cloud security ""Port Scanning"" attack malware Iaas : Impact on the ",2012
16,"… Tools/Network-Monitoring/Download-XArp.html) is an efficient available  solution that …can block the DDoS  in virtualized environment and can  services running … scalable,flexible and cost effective method to detect intrusion for  applications regardless … ",712,https://www.sciencedirect.com/science/article/pii/S1084804512001178,", , , H Patel, … - Journal of network and …, 2013 - Elsevier",A survey of intrusion detection techniques in ,2013
17,… of this technology. In this paper we presented some network and access based issues and some solutions are imposed that can make the  systembetter and more . REFERENCES [1] J. Heiser … ,,https://ieeexplore.ieee.org/abstract/document/7019116/,", A Hans, … - … Innovative Applications of …, 2014 - ieeexplore.ieee.org","Unfolding various cloud security ""Port Scanning"" attack malware Iaas brawls and concerns of cloud security ""Port Scanning"" attack malware Iaas computing",2014
18,"… & Zagorodnov show a preview of one of the available home-grown  in their …  computingis a disruptive technology with profound implications not only for Internet … outstanding issues exist,particularly related to service-level agreements (SLA),  and privacy, and … ",2861,https://www.sciencedirect.com/science/article/pii/S1084804510001281,", V Kavitha - Journal of network and computer applications, 2011 - Elsevier","A survey on cloud security ""Port Scanning"" attack malware Iaas issues in service delivery models of cloud security ""Port Scanning"" attack malware Iaas computing",2011
19,"… but every time its main focus on , trust and privacy issues in the  … et al., 2015)discusses the  issues and challenges present in the public and private . After thediscussion, they discussed some more  issues like service availability, multi-tenant … ",150,https://www.sciencedirect.com/science/article/pii/S1084804516302983,",  - Journal of Network and Computer Applications, 2017 - Elsevier",issues and challenges: A survey,2017
20,"…  federation, Multi-, Utility computing, Inter-, cross-, 2014 … Chen et al., 2013,Khan et al., 2014, Khan et al., 2016), Internet  problems remain … Other ways of  services are through internet protocols such as man-in-the-middle , DNS … ",95,https://www.sciencedirect.com/science/article/pii/S1084804516301771,", , B Dhaghighi, … - Journal of Network and …, 2016 - Elsevier","On cloud security ""Port Scanning"" attack malware Iaas : A taxonomy and intrusion detection and prevention as a service",2016
21,"… 105-110, 2008. [14] Laniepce , S., M. Lacoste, M. Kassi-Lahlou, F. Bignon, K. Lazri, and A. Wailly,""Engineering intrusion prevention services for  : The way … [15] Finley, K.,-as-a-Service: Using the  to Deliver , accessed on September 18, 2014 … ",1,https://ieeexplore.ieee.org/abstract/document/7164812/,"S Dogra, S Mehmi, S Sood - 2015 International Conference …, 2015 - ieeexplore.ieee.org","pricing: A catalyst for the large scale adoption of cloud security ""Port Scanning"" attack malware Iaas computing",2015
22,"…  58, 139–148 (2015)CrossRefGoogle Scholar. 5. Pandeeswari, N., Kumar, G.: Anomalydetection system in  environment using … Xing, T., Xiong, Z., Huang, D., Medhi, D.: SDNIPS:enabling software-defined networking based intrusion prevention system in  … ",14,https://link.springer.com/article/10.1007/s10586-017-1187-7,", R Saravanan - Cluster Computing, 2019 - Springer","Enhanced intrusion detection and prevention system on cloud security ""Port Scanning"" attack malware Iaas environment using hybrid classification and OTS generation",2019
23,…  have more interface than private network so hacker can easily break the … Although in computing there are various  challenges but we have discussed only some of them issues and introduced their relevant technique to prevent them from that issues … ,,http://technology.houseofjournals.com/index.php/GJAITKM/article/view/335,"A BANSAL, ,  - … and IT Fusion …, 2018 - technology.houseofjournals.com","DATA cloud security ""Port Scanning"" attack malware Iaas INCLOUD COMPUTING",2018
24,"… 82] to  guest Virtual … Consequently, the protocols used for  provision on a environment are vulnerable to the malicious activities and any running application may utilize … surface),  implications, Vulnerable components, Affected  service, Authors … ",4,https://content.iospress.com/articles/multiagent-and-grid-systems/mgs262,"DJ Prathyusha, S Naseera - Multiagent and Grid Systems, 2017 - content.iospress.com","A study on cloud security ""Port Scanning"" attack malware Iaas issues",2017
25,"… [10] AlZain, MA, Pardede, E., Soh, B. & Thom, JA (2012).  Computing :From Single to Multi- , 45th Hawaii International Conference on System Sciences.IEEE ComputerSociety, 5490-5499. Available from Page 8 … ",,https://pdfs.semanticscholar.org/3a7d/88a8214ca25fd08fb0bafeeb0cb266563568.pdf,", GV Rao, GS Rao - pdfs.semanticscholar.org","Computing: An Analysis of Its Challenges & cloud security ""Port Scanning"" attack malware Iaas Computing: An Analysis of Its Challenges & cloud security ""Port Scanning"" attack malware Iaas Issues",
26,"… Stallings: Cryptography and Network , Prentice Hall, 2014 … Vacquero LM, Rodero-MerinoL., Caceres J., Lindner M., A Break in the : Towards a  Definition, ACM SIGCOMMComput Commun, 39, (1), pp50-55 Lecture -  Computing and ",,http://jspring.cs.herts.ac.uk/Cloud1314.pdf,J Spring - jspring.cs.herts.ac.uk,Computing and ,
27,… Current method of digital identity management is not good enough for hybrid .Shared-Technology Vulnerabilities • Development of shared components is not guaranteed … Affected  Services Effects Solutions … Affects the data privacy and  … ,,https://ieeexplore.ieee.org/abstract/document/8769497/,"L Alhenaki, A Alwatban, B Alamri… - … & Information  …, 2019 - ieeexplore.ieee.org","A Survey on the cloud security ""Port Scanning"" attack malware Iaas of cloud security ""Port Scanning"" attack malware Iaas Computing",2019
28,"… Second, password bruteforce can be distributed as in remote host   to prevent theattacker IP … use advanced services from top providers, they should always remember basicinformation  principles … [1] Yury Goltsev, “{AB}USE Their . Computing as … ",,http://www.ijeter.everscience.org/Manuscripts/Volume-4/Issue-3/Vol-4-issue-3-M-13.pdf,", S Bagga, H Singh - ijeter.everscience.org","Critical issues in cloud security ""Port Scanning"" attack malware Iaas Computing services & its Solutions",
29,"… IT resources within the same  (but in different physical locations) or across multiple  …when using a  service in order for this use to remain , and for their … “ Guidance IBM Recommendations for the Implementation of  ”, IBM Corp … ",,https://www.researchgate.net/profile/Augustine_Onuora/publication/338236374_CLOUD_SECURITY_AND_RESILIENCE_PRINCIPLES_AND_BEST_PRACTICES/links/5e0a4bff299bf10bc384fdb3/CLOUD-SECURITY-AND-RESILIENCE-PRINCIPLES-AND-BEST-PRACTICES.pdf,"AC Onuora, GI Emereonye, RI Egwu-Ewah, DI Nnaji - researchgate.net",AND RESILIENCE: PRINCIPLES AND BEST PRACTICES,
30,"… Unlike public , private  are not available to general public and are used withinorganization and only … To gain their trust,  provider must provide  to customer's data …Hacker can exploit this feature of PaaS and try to control the PaaS  infrastructure in … ",82,https://link.springer.com/article/10.1007/s00521-016-2317-5,"BB Gupta, OP Badve - Neural Computing and Applications, 2017 - Springer","Taxonomy of DoS and DDoS cloud security ""Port Scanning"" attack malware Iaas and desirable defense mechanism in a cloud security ""Port Scanning"" attack malware Iaas computing environment",2017
31,"… In this paper, we have provided several contributions to   via virtualization … serviceuser and to the service provider; ACPS has been tailored and deployed onto different implementations and has been proven able to locally react to  breaches and … ",472,https://www.sciencedirect.com/science/article/pii/S1084804510001062,",  - Journal of network and computer applications, 2011 - Elsevier","virtualization for cloud security ""Port Scanning"" attack malware Iaas computing",2011
32,"… GoogleApp and AmazonEC2 are the public  … It may raise the usage bills intensely as the could not distinguish between the normal and fake usage … In every VM, the client operatingsystem uses the network, so conventional  approaches are used on every VM … ",2,https://link.springer.com/chapter/10.1007/978-81-322-2638-3_29,",  - Proceedings of the International Conference on …, 2016 - Springer","A survey on cloud security ""Port Scanning"" attack malware Iaas Analysis in cloud security ""Port Scanning"" attack malware Iaas computing",2016
33,"… The unique features of  forming hybrid  are retained [1]. The architecture of is open … Two  groups are created, each containing one SIP server, one Apache web serverand … of DoS  using single IDS instance placed close to the  Controller (CC … ",34,https://ieeexplore.ieee.org/abstract/document/6725325/,"Y Mehmood, , U Habiba… - 2013 2nd National …, 2013 - ieeexplore.ieee.org","Intrusion detection system in cloud security ""Port Scanning"" attack malware Iaas computing: Challenges and opportunities",2013
34,"… tree-rule firewall [39] e. SnortFlow for intrusion prevention [40] f.  based Software … Technique[41] h. Firewalls and i. Use standard protocols such as  Socket Layer … Virtual Machine a. Use software-based network components, such as bridges, and software … ",,https://www.jestr.org/downloads/Volume12Issue3/fulltext81232019.pdf,", S Doddi - Journal of Engineering Science & Technology …, 2019 - jestr.org","Achieving cloud security ""Port Scanning"" attack malware Iaas Solutions through Machine and Non-Machine Learning Techniques: A Survey.",2019
35,… to the scenario.Applying countermeasure after redirecting to honeypot is appropriate as itincreases the system or  .The attacker … Introducing this solution reduces the riskto a greater extent to the  system from being exploited as … of 16th USENIX  Symp … ,,https://ieeexplore.ieee.org/abstract/document/8597359/,"PA Pandire,  - 2018 International Conference on …, 2018 - ieeexplore.ieee.org","Detection in cloud security ""Port Scanning"" attack malware Iaas Virtual Environment and Prevention Using Honeypot",2018
36,"… 3. Monitoring and defending systems State-of-the-art  lack efficient monitoring infrastructure …In [26], the authors critically examined the known  challenges by leveraging similaritybetween … It is proposed that to mitigate the , the  service providers need to … ",1,https://link.springer.com/chapter/10.1007/978-3-662-43616-5_18,", ,  - Bio-inspiring Cyber and  …, 2014 - Springer","Data and Application cloud security ""Port Scanning"" attack malware Iaas in ",2014
37,… 11 BGP prefix hijacking Permitting the malicious users to access Faulty IP addresses Autonomous system … Standard encryption technique is required to  ports … Produce large responseby persuading the distributed network device in a  environment … ,,http://www.academia.edu/download/37617803/A_Study_on_Securing_Cloud_Environment_from_DDoS_Attack_to_Preserve_Data_Availability.pdf,", A Manimaran - academia.edu",THE INTERNATIONAL JOURNAL OF SCIENCE & TECHNOLEDGE,
38,"… and businesses despite realizing the potential for profits made available by public  arestill … NIDS/NIPS, hypervisor-based IDS provide another type IDS used to ensure the  ofdata … based IDS has paved the way for firewalls to be relocated into the  deployment … ",,https://www.mdpi.com/2571-5577/2/1/6,"A Mikail,  - Applied System Innovation, 2019 - mdpi.com","Securing Infrastructure-as-a-Service Public cloud security ""Port Scanning"" attack malware Iaas Using cloud security ""Port Scanning"" attack malware Iaas Onion",2019
39,"… Traffic encryption: To access the outsourced infrastructure on the , clients need channels to ensure …  threats sourced from host: • Trusted  Computing Platform • Terra •Trusted Virtual Datacenter (TVDc) • Mandatory … Xen  through Disaggregation … ",256,https://ieeexplore.ieee.org/abstract/document/5461732/,", ,  - 2010 the 7th International …, 2010 - ieeexplore.ieee.org","Infrastructure as a service cloud security ""Port Scanning"" attack malware Iaas : Challenges and solutions",2010
40,"… The  policies and validation mechanisms may be implemented to ensure valid requestsfor smooth running of … Table 4. Comparison of application based  on  … For simulationof the , two configurations of a  platform secured by the Snort IDS … ",132,https://www.sciencedirect.com/science/article/pii/S1084804516301060,"MA Khan - Journal of network and computer applications, 2016 - Elsevier","A survey of cloud security ""Port Scanning"" attack malware Iaas issues for cloud security ""Port Scanning"" attack malware Iaas computing",2016
41,… Man-in-middle  a. Develop a proper  socket layer (SSL) architecture   a. Require a strong    mechanism …  [46] a. Install a antispywareor anti- softwares and b. Adapt CloudIntell-A  Intelligent  … ,,https://pdfs.semanticscholar.org/9361/ae9cee91ce139efe2573ae1a2d104df7bc43.pdf,", S Doddi - pdfs.semanticscholar.org","Machine vs Non-Machine Learning Approaches to cloud security ""Port Scanning"" attack malware Iaas Solutions: A Survey",
42,,,,"SK Sen, ",,
43,"… So, for example an organization can store data in its private , but it uses these data in apublic  for operations … Private  can be expensive so they are usually not a viable orrealistic option for the average business, while issues with  and legislation … ",,https://repository.ihu.edu.gr/xmlui/handle/11544/15830,A Argyropoulos - 2017 - repository.ihu.edu.gr,"Intrusion Detection for the cloud security ""Port Scanning"" attack malware Iaas Model",2017
