,abstract,citations,link,reference,title,year
274,Managing  breaches in a networked computing environment. Download PDF Info …230000001413 cellular Effects 0 description 1; 239000008264  Substances 0 claimsdescription 75; 230000001721 combination Effects 0 description 3; … ,Alle 2 versiesIn cache,https://patents.google.com/patent/US20190273751A1/en,", , JR Hoy… - US Patent App. 16 …, 2019 - Google Patents","Managing cloud security ""Port Scanning"" attack malware Iaas breaches in a networked computing environment",2019.0
298,"… eg  boots or power-downs, version controls, system software checks,  updates or …the “swelling” or tumor aspect of a computer system as a  and privacy … is described asa distributed data processing system which may implement  computing mechanisms … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190052669A1/en,"HD Chantz - US Patent App. 16/161,212, 2019 - Google Patents","Biology Based Techniques for Handling Information cloud security ""Port Scanning"" attack malware Iaas and Privacy",2019.0
280,"… Here we assume that a VM image launched to the hypervisor is  … access by connectingto the VNC server (CVE-2015-3252).” “BIG-IP and BIG-IQ AWS, Azure, or Verizon  instancesdo … It transfers confidential information, while violating the specified  policies … ",4,https://dl.acm.org/doi/abs/10.1145/3287306,",  - ACM Computing Surveys (CSUR), 2019 - dl.acm.org","An exhaustive survey on cloud security ""Port Scanning"" attack malware Iaas concerns and solutions at different components of virtualization",2019.0
94,"… Some properties of a product include name, version, distribution, price etc. Twotypes of  infrastructures are defined namely Compute and Storage … Inria Page14. Defining  Monitoring SLAs in   11 … ",2,https://hal.inria.fr/hal-02079860/,"AT Wonjiga, L Rilling,  - 2019 - hal.inria.fr","Defining cloud security ""Port Scanning"" attack malware Iaas Monitoring SLAs in cloud security ""Port Scanning"" attack malware Iaas : the Example of a Network IDS",2019.0
101,"… Most public  are sh- ared environments; it is critical to ensure that hosting providers can …With that being said, a hypervisor based solution secures ONLY a specific  group; if the … Hence,while using the hypervisor to monitor  within the VMs, hack- ers may find a … ",6,https://www.udspub.com/ajj/public/index.php/jsc/article/view/67,"A Giannakoulias - Journal of Smart Cities, 2019 - udspub.com","computing cloud security ""Port Scanning"" attack malware Iaas : protecting cloud security ""Port Scanning"" attack malware Iaas -based smart city applications",2019.0
22,"…  58, 139–148 (2015)CrossRefGoogle Scholar. 5. Pandeeswari, N., Kumar, G.: Anomalydetection system in  environment using … Xing, T., Xiong, Z., Huang, D., Medhi, D.: SDNIPS:enabling software-defined networking based intrusion prevention system in  … ",14,https://link.springer.com/article/10.1007/s10586-017-1187-7,", R Saravanan - Cluster Computing, 2019 - Springer","Enhanced intrusion detection and prevention system on cloud security ""Port Scanning"" attack malware Iaas environment using hybrid classification and OTS generation",2019.0
69,"…  Agency (ENISA) reported that Dropbox (a large -storage service) was by DDoS … . In general, this research is based on the information exchange between  …performance is the base for decisions regarding the trustworthiness of a  … ",1,http://www.academia.edu/download/59222973/05_Paper_31031920_IJCSIS_Camera_Ready_pp67-9020190512-80804-19u1ak0.pdf,"L Alhenaki, A Alwatban, B Alahmri… - … and Information  …, 2019 - academia.edu","in cloud security ""Port Scanning"" attack malware Iaas computing: A survey",2019.0
165,"… Kamatchi, A., & Modi, CN (2016). An efficient  framework to detect intrusions at virtualnetwork layer of  computing. In 19th International ICIN Conference-Innovations in, Internet and Network (pp. 133–140).Google Scholar. 19 … ",3,https://link.springer.com/chapter/10.1007/978-981-13-1274-8_36,"T Nathiya,  - Data Management, Analytics and Innovation, 2019 - Springer","An Effective Hybrid Intrusion Detection System for Use in cloud security ""Port Scanning"" attack malware Iaas Monitoring in the Virtual Network Layer of cloud security ""Port Scanning"" attack malware Iaas Computing Technology",2019.0
166,"… The Malicious application triggers an outbound application DoS  or   againsta target system 20″ which may not be picked up by the  Provider … The  target 20 sendsan  report 20-ATT-REP to the  service provider 30, comprising … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190238561A1/en,"MA McGloin, , K Stepinski - US Patent App. 15/884,940, 2019 - Google Patents","System and method for detecting client participation in cloud security ""Port Scanning"" attack malware Iaas activity",2019.0
249,… information regarding the positive influences of a   environment and the effects of … :An  is associated with the harmful actions against resources in the  … Vulnerability: Avulnerability is a   architecture loophole with an inherent … ,1,http://search.proquest.com/openview/a82ee16598e593fd5213c1221bc85312/1?pq-origsite=gscholar&cbl=18750&diss=y,ML Lucas - 2018 - search.proquest.com,Exploring the strategies cybersecurity managers recommend for implementing or transitioning to the ,2018.0
