,abstract,citations,link,reference,title,year
253,"… they can be hosted in own or partner's data centers or in multiple  … VPN architectures whichare based on them were developed in time before  based services … algorithms, exchangenonces, execute Diffie-Hellman ex- change and open IKE  Association (IKE … ",HTML-versie,https://trepo.tuni.fi/bitstream/handle/10024/116808/korhonen.pdf?sequence=2,V Korhonen - 2019 - trepo.tuni.fi,FUTURE AFTER OPENVPN AND IPSEC,2019.0
181,"… Secondly, moving the data to the  should not violate any  law of the nation or breakthe customer data privacy policy … Public  is a publicly accessible  environment ownedby a third-party  provider. The IT resources on public  are usually … ",HTML-versie,http://repository.sustech.edu/handle/123456789/24176,DAM Osman - 2019 - repository.sustech.edu,"Two-Factor Authentication and Role-based Access Control for cloud security ""replay attack"" virtual machine Iaas Services",2019.0
288,… 0 description 2; 230000001413 cellular Effects 0 description 2; 239000008264  Substances0 … H04L63/00—Network architectures or network communication protocols for network ;H04L63/12 … paired at the user electronic device 103 to enable a  correlation of … ,Alle 2 versiesIn cache,https://patents.google.com/patent/US20190318108A1/en,"A Pokharel - US Patent App. 15/955,624, 2019 - Google Patents",Service for users to voluntarily self-identify in over the top (ott) messaging,2019.0
172,"… H04L9/3263—Cryptographic mechanisms or cryptographic arrangements for secret or communication including means … being released by data administrators, clients are wary of of data … For example, a client may request that  providers physically  their … ",37,https://patents.google.com/patent/US10218689B2/en,"RT Buendgen, JA Frey, JR Linton… - US Patent App. 10 …, 2019 - Google Patents",Extending shrouding capability of hosting system,2019.0
308,"… H04L9/00—Cryptographic mechanisms or cryptographic arrangements for secret or communication; H04L9/30 … server, the authorization server discards, for prevention of a , the refresh … where a URI of a client is changed, without impairing  in execution … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190068377A1/en,"H Matsugashita, K Yamanakajima - US Patent App. 16/114,048, 2019 - Google Patents","Authority transfer system, control method therefor, and storage medium",2019.0
187,"… Hybrid/ Private  This﻿ model﻿ is﻿ a﻿ combination﻿ of﻿ private/public/community﻿ ﻿wherein﻿ the … in﻿each﻿layer﻿of﻿IoT﻿architecture﻿and﻿then﻿ focus﻿on﻿﻿loopholes﻿in﻿﻿services …emphasis﻿lies﻿on﻿the﻿effect﻿of﻿availability﻿of﻿resources﻿(Lin﻿et﻿al.,﻿2017).﻿The﻿﻿ issues﻿also … ",1,https://www.igi-global.com/article/cloudiot/227637,"JL Shah, HF Bhat,  - … Journal of Digital Crime and Forensics …, 2019 - igi-global.com","CloudIoT: Towards Seamless and cloud security ""replay attack"" virtual machine Iaas Integration of cloud security ""replay attack"" virtual machine Iaas Computing With Internet of Things",2019.0
320,"… BUSINESS  CORPORATION reassignment INTERNATIONAL BUSINESS CORPORATION ASSIGNMENT … 239000008264  Substances 0 description 5; 238000004891communication Methods 0 … via hash codes, is used to  an authentication … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190378152A1/en,"J Zhang, JR Lin, JL Liu, N Chen… - US Patent App. 16 …, 2019 - Google Patents",Direct marketing via chained interactions in a blockchain,2019.0
306,"… the central processing unit [CPU] to service a request the resource being a , eg CPUs …Cryptography, via hash codes, is used to  an authentication of a transaction source and …that are being operated and maintained by a single stakeholder, such as a  provider … ",1In cache,https://patents.google.com/patent/US20190179672A1/en,", N Gaur - US Patent App. 15/834,522, 2019 - Google Patents",Enforcing compute equity models in distributed blockchain,2019.0
330,"… From a viewpoint of  in this case, a measure may be required for … authorization server,the authorization server discards, for prevention of a  , the refresh … hardwareconfiguration of a general information processing apparatus or a  hardware configuration … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190081943A1/en,"K Yamanakajima, H Matsugashita - US Patent App. 16/113,948, 2019 - Google Patents","Authority transfer system, control method therefor, and client",2019.0
228,… G06F9/45533—Hypervisors;   monitors; G06F9/45558—Hypervisor-specificmanagement … architectures or network communication protocols for network  for supporting …mechanisms or cryptographic arrangements for secret or  communication; H04L9 … ,11,https://patents.google.com/patent/US10212147B2/en,"RT Buendgen, JA Frey, JR Linton… - US Patent …, 2019 - Google Patents",Extending shrouding capability of hosting system,2019.0
301,"… project management, eg organising, planning, scheduling or allocating time, human or resources; Enterprise … Cryptography, via hash codes, is used to  an authentication of atransaction … operated and maintained by a single stakeholder, such as a  provider … ",In cache,https://patents.google.com/patent/US20190182055A1/en,", N Gaur - US Patent App. 15/834,768, 2019 - Google Patents",Enforcing compute equity models in distributed blockchain,2019.0
310,"… b) the transaction has not been submitted already in the past (- protection), (c … Partof the reason for closing the blockchain may be to  rights to … network PCs, minicomputersystems, mainframe computer systems, and distributed  computing environments … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190190697A1/en,"HA Cunico, S Dunne, LS Harpur… - US Patent App. 15 …, 2019 - Google Patents",Blockchain lifecycle management,2019.0
321,"… WBANs can improve the educational skills of the children by providing them the exam likescenarios via  reality … parameters to the  server using energy-efficient routing, resource allocation, semantic interactions, and data  mechanisms …  services … ",12,https://link.springer.com/article/10.1007/s11276-018-1694-3,", R Kumar - Wireless Networks, 2019 - Springer",Technological aspects of WBANs for health monitoring: a comprehensive review,2019.0
297,"… ; H04L63/14—Network architectures or network communication protocols for network for detecting or … Cryptography, via hash codes, is used to  an authentication of atransaction … operated and maintained by a single stakeholder, such as a  provider … ",In cache,https://patents.google.com/patent/US20190182254A1/en,", N Gaur - US Patent App. 15/834,458, 2019 - Google Patents",Enforcing compute equity models in distributed blockchain,2019.0
26,"… 11] Z. Chen, F. Han, J. Cao, X. Jiang, S. Chen, “ computing- based forensic analysis forcollaborative network  management system … K. Kourai, T. Azumi, and S. Chiba, “Aself-protection mechanism against stepping-stone attacks for  ”, in Ubiquitous … ",3,https://ieeexplore.ieee.org/abstract/document/8776897/,", M Saran, R Kumar - … Conference on  …, 2019 - ieeexplore.ieee.org","A survey on cloud security ""replay attack"" virtual machine Iaas over sensor-",2019.0
284,"… 230000015654 memory Effects 0 description 10; 239000008264  Substances 0 description9; … 30—Authentication, ie establishing the identity or authorisation of  principals; G06F21 …mechanisms or cryptographic arrangements for secret or  communication the … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US10474809B1/en,"DK Wurmfeld, K Osborn - US Patent 10,474,809, 2019 - Google Patents",Computer-based systems and computing devices configured to utilize one or more authentication servers for securing device commands transmissions and methods …,2019.0
129,"… portability and integrity issue: In hybrid , the service provider finds difficulty in integratingthe data of the public off premises  that is … Since the data may distribute over the private andpublic  that may cause the integration problem including:  related issues … ",4,https://link.springer.com/chapter/10.1007/978-3-662-57277-1_12,"V Bhanumathi, K Kalaivanan - Computational Intelligence in Sensor …, 2019 - Springer","Application specific sensor-cloud security ""replay attack"" virtual machine Iaas : architectural model",2019.0
307,"… Details thereof; G06Q20/382—Payment protocols; Details thereof insuring higher  oftransaction; … Cryptography, via hash codes, is used to  an authentication of a transaction …1A , the blockchain may include a processing platform, such as a   that can … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190205884A1/en,"VS Batra, P Jayachandran, … - US Patent App. 15 …, 2019 - Google Patents",Converting processes into multiple blockchain smart contracts,2019.0
