,abstract,citations,link,reference,title,year
0,"… [10] T. Ristenpart, E. Tromer, H. Shacham, and S. Savage, “Hey, you, get off of my : exploringinformation leakage in third-party compute ,” in Proc. CCS … [11] “e-timestamp: A web-based service for data authen- tication,” http://www.digistamp.com.",33,https://ieeexplore.ieee.org/abstract/document/6264690/,", Y Liu, , B Zang - IEEE/IFIP International …, 2012 - ieeexplore.ieee.org",Defending against ,2012
1,"… 3.1.  Policy Enhancement With a valid credit card, anyone can register to utilize resourcesoffered by  service providers. This causes hackers to take advantage of the powerfulcomputing power of  to conduct malicious activities, such as spamming and … ",6,https://www.ceeol.com/search/article-detail?id=159743,"AA Ouahman - Journal of Defense Resources Management (JoDRM), 2014 - ceeol.com","and privacy issues in cloud security VM ""rollback"" attack virtual machine IaaS computing",2014
2,… of network firewalls (I6) and the overlooked  configurations (I7) within  and on … inthe domain of any function or activity that directly or indirectly affect  … or more of the components may cause severe consequences because  configurations could be … ,183,https://www.mdpi.com/2073-431x/3/1/1,", ,  - Computers, 2014 - mdpi.com","computing cloud security VM ""rollback"" attack virtual machine IaaS : A survey",2014
3,"… The public, community, and hybrid  possess more  specific vulnerabilities and risksdue to presence of … scenario, the configuration of the  should dynamically be managed toensure the  of the … Virtualization is one of the strategic components of the  … ",591,https://www.sciencedirect.com/science/article/pii/S0020025515000638,", ,  - Information sciences, 2015 - Elsevier","in cloud security VM ""rollback"" attack virtual machine IaaS computing: Opportunities and challenges",2015
4,"…  federation, Multi-, Utility computing, Inter-, cross-, 2014 …  providersuse hypervisor and  technologies in  multi-tenant environment which consists of … Hence,the “client to client ” is a major  risk to the virtualized environment … ",95,https://www.sciencedirect.com/science/article/pii/S1084804516301771,", , B Dhaghighi, … - Journal of Network and …, 2016 - Elsevier","On cloud security VM ""rollback"" attack virtual machine IaaS : A taxonomy and intrusion detection and prevention as a service",2016
5,"… premises.  providers have to decrypt cipher data in order to process it, whichraises privacy concerns. In [70], they propose a method based on the applicationof fully homomorphic encryption to the  of . Fully … ",680,https://link.springer.com/article/10.1186/1869-0238-4-5,"K Hashizume, … - Journal of internet …, 2013 - Springer","An analysis of cloud security VM ""rollback"" attack virtual machine IaaS issues for cloud security VM ""rollback"" attack virtual machine IaaS computing",2013
6,"… 5, Laniepce, 2013, Engineering Intrusion Prevention Services for  : The Wayof the Hypervisor, Proposed a hypervisor-based monitoring approach. Most promising,improves user  . Depends on the trust of  provider … ",34,https://www.sciencedirect.com/science/article/pii/S0045790617320724,"N Subramanian, A Jeyaraj - Computers & Electrical Engineering, 2018 - Elsevier","Recent cloud security VM ""rollback"" attack virtual machine IaaS challenges in cloud security VM ""rollback"" attack virtual machine IaaS computing",2018
7,"… For protecting  against stepping-stone , a  introspection based mechanism isprovided in … guest operating system thus results in exposing the newly created  to threats … An approach of stealing private information on the  due to sharing of physical … ",132,https://www.sciencedirect.com/science/article/pii/S1084804516301060,"MA Khan - Journal of network and computer applications, 2016 - Elsevier","A survey of cloud security VM ""rollback"" attack virtual machine IaaS issues for cloud security VM ""rollback"" attack virtual machine IaaS computing",2016
8,"… First, in VMM [13] (hypervisor) where  provider is the first responsible on maintaining the …Network Virtualization is another  challenge in the virtualization since most  monitorsuse … to its related  by devoted physical channels remains the most  way to … ",3,https://www.sciencedirect.com/science/article/pii/S1877050918311451,"A Ahmed, T Zakariae - Procedia computer science, 2018 - Elsevier","Model cloud security VM ""rollback"" attack virtual machine IaaS Issues on Behalf cloud security VM ""rollback"" attack virtual machine IaaS Provider and User cloud security VM ""rollback"" attack virtual machine IaaS Behaviors",2018
9,"… Replus also adopts an instruction-level updating mechanism, which is more efficient for specific patches … TEE: a  DRTM based execution environment for   … IEEE TransDepend  Comput (TDSC), 2012, 9: 838–851 4 Shi L, Zou DQ, Jin H. Xen … ",9,http://scis.scichina.com/en/2016/050105.pdf,", , D Zou - Science China Information Sciences, 2016 - scis.scichina.com",Theory and methodology of research on ,2016
