,abstract,citations,link,reference,title,year
305,"… description 5; 230000015654 memory Effects 0 description 43; 239000008264  Substances0 … or power-downs, version controls, system software checks,  updates or … G06F21/577—Assessing vulnerabilities and evaluating computer system . G—PHYSICS; … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190370482A1/en,"JA Harland, V Patel, N Pritchard - US Patent App. 16/539,580, 2019 - Google Patents",message handling,2019.0
298,US20190155597A1 - Zero Down Time Upgrade for a Multi-Tenant Identity and Data Management  Service - Google Patents. Zero Down Time Upgrade for a Multi-Tenant Identityand Data  Management  Service. Download PDF Info … ,Alle 2 versiesIn cache,https://patents.google.com/patent/US20190155597A1/en,"V Lander,  - US Patent App. 16/254,761, 2019 - Google Patents","Zero Down Time Upgrade for a Multi-Tenant Identity and Data cloud security VM ""rollback"" attack virtual machine IaaS Management cloud security VM ""rollback"" attack virtual machine IaaS Service",2019.0
351,"… through network 140, as is common in data centers and with -computing applications …Transactional messaging—similar servers; Non-persistent messaging—high capacity networklinks;  Socket Layer (SSL) and encryption—dedicated  hardware; … ",Alle 2 versiesIn cache,https://patents.google.com/patent/US20190068480A1/en,"GD Hopkins, TJ Quigly, LDC Saker… - US Patent App. 16 …, 2019 - Google Patents",Management of connections of a client application including server selection,2019.0
149,"… are often used by researchers, for instance the title of articles “ virtualization for … target asit is still contains many flaws such as   , data leakage … into  computingsignificantly increases  surface and further complicates   activities [34 … ",1,https://link.springer.com/chapter/10.1007/978-3-030-10543-3_14,"LS Thiam, ,  - … of Big Data and IoT , 2019 - Springer",Bibliometric analysis on the rise of ,2019.0
366,… Patents. Monitoring connectivity and latency of a  network. Download PDF Info …10; 239000008264  Substances 0 description 9; 230000036541 health Effects0 description 8; 238000001914 filtration Methods 0 description 7; … ,Alle 2 versiesIn cache,https://patents.google.com/patent/US20190363965A1/en,"R Tewari, , HK Chandrappa… - US Patent App. 16 …, 2019 - Google Patents","Monitoring connectivity and latency of a cloud security VM ""rollback"" attack virtual machine IaaS network",2019.0
315,"… The  OS/VMM 128 may include a  Integrity Technology (CIT) agent 130 … 5-8 , the cloudlet102 may perform a  and trusted boot process … Multiple ones of the  componentsdiscussed herein may be leveraged during this boot process, as discussed in detail … ",4,https://patents.google.com/patent/US10339317B2/en,"Y Raghuram, , NT Cook, K Sood - US Patent 10,339,317, 2019 - Google Patents",Computing devices,2019.0
170,"… Here we assume that a  image launched to the hypervisor is  … allows remote attackersto gain access by connecting to the VNC server (CVE-2015-3252).” “BIG-IP and BIG-IQ AWS,Azure, or Verizon  instances do … 2.2.1  Challenges to  in Running State … ",4,https://dl.acm.org/doi/abs/10.1145/3287306,",  - ACM Computing Surveys (CSUR), 2019 - dl.acm.org","An exhaustive survey on cloud security VM ""rollback"" attack virtual machine IaaS concerns and solutions at different components of virtualization",2019.0
384,"… services to various end hosts, which may include physical  and/or  () … applications such as campus networks, virtualized data centers (VDCs), private ,and the … via the command include, eg, ACL rules that are used for  purposes, rules … ",19,https://patents.google.com/patent/US10193706B2/en,"S Bhattacharya, R Hansalia, R Muddana… - US Patent …, 2019 - Google Patents",Distributed rule provisioning in an extended bridge,2019.0
385,"… to support (i) generic resource management for any type of workload and (ii) provisioning of resources from multiple   … includes an assessment of other functional aspects suchas cluster setup tools,  networking, customizability,  and multi … ",3,https://www.mdpi.com/2076-3417/9/5/931,", , , … - Applied Sciences, 2019 - mdpi.com",A comprehensive feature comparison study of open-source container orchestration frameworks,2019.0
395,"… Because it is highly performant,  and open sourced, Blockchain use cases built withHyperledger … to easily set up and manage a permissioned blockchain hosted in the  withpreassembled components and enterprise-grade  and performance … ",Alle 2 versiesIn bibliotheek zoeken,https://books.google.nl/books?hl=nl&lr=&id=iGuuDwAAQBAJ&oi=fnd&pg=PP1&dq=cloud+security+VM+%22rollback%22+attack+virtual+machine+IaaS&ots=h61BmQdVu5&sig=l0UeIV_nZjFXsEIwvCeLtre-fRI,"V Acharya, AE Yerrapati, N Prakash - 2019 - books.google.com",Oracle Blockchain Quick Start Guide: A practical approach to implementing blockchain in your enterprise,2019.0
