,abstract,citations,link,reference,title,year
0,"… However, that private data can possibly be hacked by online cyber thieves, if they find a wayto access the  …    … Once the injection is completed, the malicious moduleis executed as one of the valid instances running in the ; then, the hacker can … ",147,http://www.academia.edu/download/60866635/5313ijcsit0620191010-95474-i853s5.pdf," - International Journal of Computer Science & …, 2013 - academia.edu","threats on cloud security ""SQL injection"" attack malware Paas or Saas computing vulnerabilities",2013
1,"… —exploits its privileged access capabilites to the service instances in order to  thatservice instance's  do- mains … at re- source exhaustion can still impact the , especiallysince the attacker may use a  for sending … [9]). Thus, both  (the attacker's … ",212,https://ieeexplore.ieee.org/abstract/document/5557984/,",  - … 3rd international conference on  …, 2010 - ieeexplore.ieee.org","surfaces: A taxonomy for cloud security ""SQL injection"" attack malware Paas or Saas on cloud security ""SQL injection"" attack malware Paas or Saas services",2010
2,"… [15] Thomas Ristenpart et al.,“Hey, You, Get Off of My : Exploring InformationLeakage in Third-Party Compute ,” Proc. 16th ACM Conf. Computer andCommunications  (CCS09), ACM Press, 2009, pp. 199–212 … ",34,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.303.205&rep=rep1&type=pdf#page=49,"DH Parekh,  - … Journal of Advanced Computer Science and …, 2013 - Citeseer","An analysis of cloud security ""SQL injection"" attack malware Paas or Saas challenges in cloud security ""SQL injection"" attack malware Paas or Saas computing",2013
3,"… Hypervisor based IDS maintains higher data availability in the  server and in the virtualized environment, it contributes more to , analyze, and detect malicious intruders [15] …Implement widespread email  solution 5   injection  … ",6,http://search.proquest.com/openview/b6481c1d8efc1bcc3a455cea189bcce3/1.pdf?pq-origsite=gscholar&cbl=2035011,",  - the international journal of science …, 2015 - search.proquest.com","A study on securing cloud security ""SQL injection"" attack malware Paas or Saas environment from DDoS cloud security ""SQL injection"" attack malware Paas or Saas to preserve data availability",2015
4,… 3.3 Application  1.  provider should follow a secure development process.2. XML signature and XML encryption method should be used to  applications fromXML  and web service . 3.4 Information  … ,19,https://ieeexplore.ieee.org/abstract/document/6954232/,", , J Soni - 2014 International Conference …, 2014 - ieeexplore.ieee.org","computing: cloud security ""SQL injection"" attack malware Paas or Saas model comprising governance, risk management and compliance",2014
5,"… detect the faultless fluid data across local applications, across  and among  andit … 1 Opponents who may also be legal  clients may utilise the co-residence issue … 2 Many issues such as data breach, computation breach, flooding , etc., are incurred … ",21,https://www.researchgate.net/profile/Praveen_Challagidad2/publication/316345513_Cloud_computing_review_concepts_technology_challenges_and_security/links/5b25f49caca272277fb589b7/Cloud-computing-review-concepts-technology-challenges-and-security.pdf,", PS Challagidad, … - … Journal of  …, 2017 - researchgate.net","computing review: concepts, technology, challenges and ",2017
6,"… premises.  providers have to decrypt cipher data in order to process it, whichraises privacy concerns. In [70], they propose a method based on the applicationof fully homomorphic encryption to the  of . Fully … ",680,https://link.springer.com/article/10.1186/1869-0238-4-5,"K Hashizume, … - Journal of internet …, 2013 - Springer","An analysis of cloud security ""SQL injection"" attack malware Paas or Saas issues for cloud security ""SQL injection"" attack malware Paas or Saas computing",2013
7,"… & Zagorodnov show a preview of one of the available home-grown  in their …  computingis a disruptive technology with profound implications not only for Internet … outstanding issues exist,particularly related to service-level agreements (SLA),  and privacy, and … ",2861,https://www.sciencedirect.com/science/article/pii/S1084804510001281,", V Kavitha - Journal of network and computer applications, 2011 - Elsevier","A survey on cloud security ""SQL injection"" attack malware Paas or Saas issues in service delivery models of cloud security ""SQL injection"" attack malware Paas or Saas computing",2011
8,"… side additionally consume  resources, the -to-service interface of both  is attacked …Hence, talking about  computing  means talking about  with the  provideramong the … to-Service (d) Service-to- (e) -to-User (f) User-to- … ",83,https://pdfs.semanticscholar.org/95c0/ae8181bbd949b69d23b5672038fdf4e4a3d7.pdf,", DM Shrivastava - International Journal of …, 2012 - pdfs.semanticscholar.org","Overview of cloud security ""SQL injection"" attack malware Paas or Saas on cloud security ""SQL injection"" attack malware Paas or Saas computing",2012
9,"… this matter and applied the various type of  measures in order to make  computingas … By implementing such of  mechanism as mentioned on Table 2, users can  their … the rest let the provider playing their role in order to keep the  secure by … ",,https://link.springer.com/chapter/10.1007/978-981-13-1799-6_52,"S Harun,  - Proceedings of the International Conference on …, 2019 - Springer","Proving cloud security ""SQL injection"" attack malware Paas or Saas Layer cloud security ""SQL injection"" attack malware Paas or Saas Vulnerabilities",2019
