,abstract,citations,link,reference,title,year
251,"… world and it has a close connection with the Database , Web  and   …antivirus software and anti  are very important for  and robust  systemestablishment in a network or system; as modern antivirus is able to  following … ",Alle 2 versies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3484110,"P Paul,  - … on Emerging Trends in Management, IT and …, 2019 - papers.ssrn.com","NETWORK cloud security ""SQL injection"" attack malware : THREAT & MANAGEMENT",2019.0
226,"… this study we have tried to find out top five defense strategies to  emerging technology …Issue 9, September-2013 Page nos.68 – 71 ISSN 2229- 5518, “Study of  Computing in …Volume 3, Issue 6, June-2012 “Study of Latest Emerging Trends on Cyber  and its … ",HTML-versie,http://d.researchbib.com/f/5nnJcwp21uYzAioF9jqJWfnJAuqTyioaZio2A0o2WypwVjZGxiIwqWZGNjAv5jMTL.pdf,"P Patil, YS Chaudhari - 2019 - d.researchbib.com",Study of Emerging Threats in Cyber-,2019.0
599,"… The target users are penetration testers who need  friendly environment with onlineanonymity and … Encryption of HTTP using TLS (Transport Layer ) or SSL ( Sockets …types of code injection  (The  Buddy):  , HTML (JavaScript) … ",Alle 3 versiesHTML-versie,https://www.jates.org/index.php/jatespath/article/view/139,",  - Journal of Applied Technical and Educational Sciences, 2019 - jates.org",Some ethical hacking possibilities in Kali Linux environment,2019.0
610,"… are relatively computationally less powerful to maintain strong defense systems as  serversdo … associated with vulnerability discoveries, researchers also sought ways to actively edge devices … Xiao et al.: Edge Computing : State of the Art and Challenges … ",3Alle 3 versies,https://ieeexplore.ieee.org/abstract/document/8741060/,", Y Jia, , , … - Proceedings of the …, 2019 - ieeexplore.ieee.org","Edge computing cloud security ""SQL injection"" attack malware : State of the art and challenges",2019.0
663,"… an attacker has physical access to the device, there is nothing more that can be done to it [14 … Architecture (ie, gateway-dependent, mobile-controlled, -based), which depends onthe selected solution …   can be classified based on their nature as follows … ",3Alle 2 versies,https://www.sciencedirect.com/science/article/pii/S2542660519302343,", , ,  - Internet of Things, 2019 - Elsevier","IoMT-SAF: Internet of medical things cloud security ""SQL injection"" attack malware assessment framework",2019.0
778,"… with cross-site scripting vulnerabilities; databases are subject to   ; operatingsystem … Shantanu Pa[14], focuses on thedevelopment of a more   environmentto detect …user data whichevidences the level of data  provided in   … ",HTML-versie,https://pdfs.semanticscholar.org/8dbd/6e1b3f876b127636693d7d2901566afab38d.pdf,"SS Tiwari, R Talmale - 2019 - pdfs.semanticscholar.org","A Review on User Behavior Profiling and Decoy Technology in cloud security ""SQL injection"" attack malware Computing",2019.0
776,"… Application  (for , smart homes, mobile systems, etc.); … CVE-2015-2883 PhilipsIn.Sight B120/37 has XSS, related to the Weaved  web service, as … “It is extremely commonthat firmware can be updated in the field to fix bugs and  vulnerabilities, but once … ",7,https://link.springer.com/article/10.1007/s10586-018-2823-6,", A Tolstoy - Cluster Computing, 2019 - Springer","Internet of Things: information cloud security ""SQL injection"" attack malware challenges and solutions",2019.0
770,… this system can work for little systems like private ; however on huge scale  it is … Itought to be seen that CSP must have the most recent system  improvement strategies …imperative issue is to utilize IPSEC/VPN strategies between the CSP and  clients at … ,1,https://www.igi-global.com/chapter/security-challenges-and-resolution-in-cloud-computing-and-cloud-of-things/229165,"M Rath - Applying Integration Techniques and Methods in …, 2019 - igi-global.com","Challenges and Resolution in cloud security ""SQL injection"" attack malware Computing and cloud security ""SQL injection"" attack malware of Things",2019.0
758,"… Rogue clients, Rogue devices F– development/delivery • Denial of Service G–design and … OWASP (Open Web Application  Project) has a very neat summa- k rizationof the … unencrypted fashion, and since data go out from home into the , most people … ",2,https://books.google.nl/books?hl=nl&lr=&id=v4B_DwAAQBAJ&oi=fnd&pg=PA223&dq=cloud+security+%22SQL+injection%22+attack+malware&ots=foxz072MDF&sig=AP98t6PJwpOcsSTlCXqHFoNvz5w,"M Moh, R Raju - Fog and Edge Computing: Principles and …, 2019 - books.google.com","Using Machine Learning for Protecting the cloud security ""SQL injection"" attack malware and Privacy of Internet of Things (IoT) Systems",2019.0
744,"… Cybersecurity (CySec) describes “the ability to  or defend the use of cyberspace fromcyber-” (Cooper et al., 2010) …  Software Design & Engineering (IAS) (3). DatabaseAdmin (CSec, CySec) (10) … (21).   (CySec) (23). Mobile  (CySec) … ",27,https://aisel.aisnet.org/jise/vol26/iss3/4/," - Journal of Information Systems Education, 2019 - aisel.aisnet.org",Using Bloom's and Webb's Taxonomies to Integrate Emerging Cybersecurity Topics into a Computic Curriculum,2019.0
