,abstract,citations,link,reference,title,year
873,"… M. Whaiduzzaman, M. Sookhak, A. Gani, and R. Buyya, “A survey on vehicular  computing,”Journal of … RV Kulkarni and GK Venayagamoorthy, “Neural  based  media accesscontrol protocol for wireless sensor ,” in … and   (CNS), pp … ",3,https://link.springer.com/content/pdf/10.1007/978-3-030-01731-6.pdf,", , ,  - 2019 - Springer","Learning-based vanet communication and cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS techniques",2019.0
685,"… 2. Vehicular  formation overview … Table 1 describes different notations, which are used inthese protocols to transfer  data from one point to other … Otherwise it may face  threats,eg, identity , data modification, sybil , denial of service, repudiation … ",13,https://www.sciencedirect.com/science/article/pii/S187449071730352X,",  - Physical Communication, 2019 - Elsevier","message confirmation scheme based on batch cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in vehicular cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS computing",2019.0
502,… technology g. CloudSec using VM Introspection (VMI) Technique [41] h. Firewalls and i. Usestandard protocols such as  Socket Layer … Regulatory Compliance a. CSP must be ableto submit to external Audits and  certifications to  customers b … ,Alle 3 versiesHTML-versie,https://www.jestr.org/downloads/Volume12Issue3/fulltext81232019.pdf,", S Doddi - Journal of Engineering Science & Technology …, 2019 - jestr.org","Achieving cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Solutions through Machine and Non-Machine Learning Techniques: A Survey.",2019.0
126,"… [18] Pebble-trace prototype Defence against stepping-stone  for IaaS  … So, has to be implemented at both  and . This paper describes some of the importantsensor   illustrating the defense mechanism for each of them by going … ",3,https://ieeexplore.ieee.org/abstract/document/8776897/,", M Saran, R Kumar - … Conference on  …, 2019 - ieeexplore.ieee.org","A survey on cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS over sensor-",2019.0
669,"… The ES can also communicate with some remote  to carry out further data analysis or … if anattacker wants to impersonate an  user, it must break the MA- (being proven …verifier table always running on the BC, the proposed protocol is  against the … ",2,https://ieeexplore.ieee.org/abstract/document/8809247/,"J Wang, L Wu, ,  - IEEE Transactions on …, 2019 - ieeexplore.ieee.org","Blockchain based anonymous cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS with key management for smart grid edge computing infrastructure",2019.0
119,"… VM supported by hypervisor‐based virtualization techniques claims to be more  thancontainers … However, Gupta44 provided a brief overview about comparisons between of containers … instances of containers running on these VMs, so public  providers can … ",23,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4436,", Y Jin, ,  - Concurrency and Computation …, 2019 - Wiley Online Library","A survey on cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS issues in services communication of Microservices‐enabled fog applications",2019.0
395,"… strong impact of the MEC on existing  service model of the  and investigated …problem of protecting user location privacy using chaff services in mobile edge  and verified …actually confirming identity, and can be used to solve the identity  problem of … ",2,https://www.sciencedirect.com/science/article/pii/S1383762118304491,"J Wang, M Ni, F Wu, S Liu, J Qin,  - Journal of Systems Architecture, 2019 - Elsevier","Electromagnetic radiation based continuous cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in edge computing enabled cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS of things",2019.0
521,"… All your  are belong to us:  analysis of  management interfaces. InProceedings of the 3rd ACM workshop on  computing  workshop (pp. 3-14).ACM. 34. Jin, S., Ahn, J., Seol, J., Cha, S., Huh, J., & Maeng, S.(2015) … ",Alle 4 versies,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781119593171#page=66,", M Memoria, A Ashok - Designs for the  …, 2019 - Wiley Online Library","and Challenges in Mobile cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Computing",2019.0
921,"… When companies expect large spikes within their site visitors, or whenever they're on the lookoutfor more affordable alternatives, public  would be the favored option …   viatokenization or encryption The  problems of  computing like … ",HTML-versie,https://www.researchgate.net/profile/Wajid_Hassan3/publication/337973968_Latest_trends_challenges_and_solutions_in_security_in_the_era_of_cloud_computing_and_software_defined_networks/links/5df8b3e2a6fdcc283726d620/Latest-trends-challenges-and-solutions-in-security-in-the-era-of-cloud-computing-and-software-defined-networks.pdf,", , X Li, P Appiah-Kubi… - Int J Inf & Commun …, 2019 - researchgate.net","Latest trends, challenges and solutions in cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in the era of cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS computing and software defined ",2019.0
908,"… It could provide a reference for researchers aiming at a  WBAN, promoting WBAN medical …Military  within the Framework of  Studies Lee,SHL,Lee,S.,Song,H.,&Lee,HS(2009 … A scheme for data confidentiality in -assisted Wireless Body Area  … ",1,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3358378,"S Karchowdhury,  - International Journal of Computational …, 2019 - papers.ssrn.com","Survey on cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS on Wireless Body Area ",2019.0
374,"… Since it was introduced, designers are looking at possible ways to  SDN that do not … [20]focuses on protecting many diverse hosts and  configurations in a   fromthreats; Refs … The concept underlying our   is synchronizing secret … ",3,https://www.mdpi.com/1999-5903/11/4/85,"J Yao, Z Han, , L Wang - Future , 2019 - mdpi.com","A Robust cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Architecture for SDN-Based 5G ",2019.0
924,"… 2015) [30], An anomaly based detection system, Blocking, Requires some changes in computing service … All this information can be used for scalability and other  issues … Table2 shows the comparison of all the approaches discussed previously to  the  … ",11,https://www.sciencedirect.com/science/article/pii/S0167739X18302930,", , ,  - Future Generation Computer …, 2019 - Elsevier","Toward an optimal solution against denial of service cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in software defined ",2019.0
764,"… [17] found that Lee et al.'s scheme is still vulnerable to forgery  and server   …PWi and a random number b, then transmits the registration request information {UIDi, h(PWib)} to the registration center RC via a  channel … 3  Analysis of Wei et al.'s … ",1Alle 3 versiesHTML-versie,http://ijns.jalaxy.com.tw/contents/ijns-v21-n6/ijns-2019-v21-n6-p993-1002.pdf,"T Wan, X Liu, W Liao, N Jiang - … Journal of , 2019 - ijns.jalaxy.com.tw","Cryptanalysis and improvement of a smart card based cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS scheme for multi-server architecture using ECC",2019.0
277,… This approach uses  routing policy expression to detect the maximum flows specified inthe SPE for a particular host … a detailed  analysis of software-defined  serviceswhich helps to enforce  within SDN in the  environment … SDN policy  … ,14,https://link.springer.com/article/10.1007/s10586-018-02900-2,", ,  - Cluster Computing, 2019 - Springer","Mitigating cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in software defined ",2019.0
291,"… This protocol is designed to provide end-to-end  between IPv6 and 6LoWPAN nodes …However, the devices need to be synchronized with the  server and the proposed … A and efficient user  scheme for multi-gateway wireless sensor  is … ",30,https://www.sciencedirect.com/science/article/pii/S1389128618307035," - Computer , 2019 - Elsevier","Current research on cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS of Things (IoT) cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS : A survey",2019.0
773,… [29] proposed an efficient and  smart card based three-factor  scheme forsingle-server environment; they claimed to have the capacity to prevent various   …smart card and sends it to i U over a  channel … 4.4 Server  ,Alle 3 versiesHTML-versie,https://jit.ndhu.edu.tw/article/view/2088,", B Xiang, , Y Zhang… - Journal of  …, 2019 - jit.ndhu.edu.tw","An Efficient and cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Smart Card Based cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Scheme",2019.0
388,"… While focusing on  objectives is useful in  analysis, such classification does not …Examples of -based  are DDoS, , Code Injection, and Malware Injection …We considered a more fine-grained set of six  components (Application,  … ",10,https://www.sciencedirect.com/science/article/pii/S1389128618308259,", , , , N Fetais… - Computer , 2019 - Elsevier","Systematic identification of threats in the cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS : A Survey",2019.0
744,"… Thereafter, Li et al34 came up with another ID‐based  key agreement protocol for environment, yet it does not provide anonymity … depict informal and formal  discussionand analysis, along with performance evaluation analysis … A  hash function … ",1,https://onlinelibrary.wiley.com/doi/abs/10.1002/dac.3980,", , M Shafiq… - International Journal …, 2019 - Wiley Online Library","A provable and cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS mobile user cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS scheme for mobile cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS computing services",2019.0
629,"… An efficient  framework to detect intrusions at virtual  layer of  computing.In 19th International ICIN Conference-Innovations in ,  and  (pp … Design& Development of a new hybrid system to Prevent Intrusion at  using genetic … ",3,https://link.springer.com/chapter/10.1007/978-981-13-1274-8_36,"T Nathiya,  - Data Management, Analytics and Innovation, 2019 - Springer","An Effective Hybrid Intrusion Detection System for Use in cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Monitoring in the Virtual cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Layer of cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Computing Technology",2019.0
726,"… Springer (2012)Google Scholar. 2. Wang, C., Chow, SSM, Wang, Q., Ren, K., Lou, W.:Privacy-preserving public auditing for   storage … 2), 362–375 (2013)Google Scholar.3. Wang, B., Chow, SSM, Li, M., Li, H.: Storing shared data on the  via -mediator … ",3,https://link.springer.com/chapter/10.1007/978-981-13-1882-5_14,"P Arulmozhi, ,  - Advances in Big Data and  …, 2019 - Springer","A Lightweight Memory-Based Protocol cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Using Radio Frequency Identification (RFID)",2019.0
399,"… More motivations are required to provide more trustworthy solutions to  the  as muchas … Abhishek Bhattacharya, and Soumi Dutta, editors, Emerging Technologies in Data Miningand Information , volume 755 …  computing: Overview and research issues … ",1,https://ieeexplore.ieee.org/abstract/document/8766621/,"N Eddermoug, M Sadik, … - … & Mobile Computing …, 2019 - ieeexplore.ieee.org","Ppsa: Profiling and preventing cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS computing",2019.0
856,"… Multi-tenancy is another feature unique to , especially in public  … in the  andprovides situational awareness through continuous monitoring of the   [29] … prototypewas based on firewall technology and authors revealed that the  policies are … ",1,https://link.springer.com/article/10.1007/s41870-018-0108-1,"A Singh - International Journal of Information Technology, 2019 - Springer","concerns and countermeasures in cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS computing: a qualitative analysis",2019.0
639,"… the quantity of new approaching packet is bigger than that the  channel bandwidth … DDoS in  computing has been a challenge in the   field, particularly … Becauseof the tremendous measure of information stored over ,  computing is … ",6Web of Science: 2,https://ieeexplore.ieee.org/abstract/document/8735686/,", K Abbas, R Jain - IEEE Access, 2019 - ieeexplore.ieee.org","A survey on distributed denial of service (DDoS) cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS in SDN and cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS computing environments",2019.0
858,"… man-in-the-middle , impersonation , replay at- tacks,  , etc … to breakthe combination of continuously changing variables and highly  private keys … P1: SupportsMutual ; P2: Session Key ; P3: Supports Message Integrity; P4 … ",1,https://ieeexplore.ieee.org/abstract/document/8854144/,", K Kaur, … - IEEE Transactions …, 2019 - ieeexplore.ieee.org","and Lightweight cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Scheme for Smart Metering Infrastructure in Smart Grid",2019.0
707,"… Aloqaily, M., Kantarci, B., & Mouftah, HT (2015, November). Vehicular : State of the art,chal- lenges and future directions … Bajpai, A., & Singh, S. (2016). A survey on  Analysisin  computing … In Smart   & Systems (SCNS) (pp. 1-6). IEEE … ",2,https://www.igi-global.com/chapter/challenges-and-opportunities-in-vehicular-cloud-computing/224677,", , A Mukherjee - : Concepts …, 2019 - igi-global.com","Challenges and Opportunities in Vehicular cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Computing",2019.0
487,"… model. A two-server PAKE proposed in [11], uses smart cards to enhance the . Albeit,the model claims to  against replay , it is pliable to impersonation  … Lee etal. proposed an identity based authen- tication for the  environment [29] … ",1,https://link.springer.com/article/10.1007/s11036-018-1104-1,",  - Mobile and Applications, 2019 - Springer","Two-Server 3D ElGamal Diffie-Hellman Password cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS and Key Exchange Protocol Using Geometrical Properties",2019.0
611,… manufacturers to encrypt data communication between two ECUs or between a  and an …key to derive the new session key K CI for each  communication between … Such proprieties may be checked using a formal  tool called Automated Validation … ,23,https://patents.google.com/patent/US10218499B1/en,"YEH El Idrissi, A Weimerskirch - US Patent App. 10/218,499, 2019 - Google Patents","System and method for cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS communications between controllers in a vehicle ",2019.0
785,"… kinds of active , such as denial of service , replay , impersonation  andlocation . More importantly, an anonymous  scheme with communication in intelligent VANETs should satisfy the following  requirements … ",1Alle 6 versiesHTML-versie,http://www.itiis.org/digital-library/manuscript/file/22142/TIISVol13No6-28.pdf,"X Zhang, L Mu, J Zhao, C Xu - KSII Transactions on and Information …, 2019 - itiis.org","An Efficient Anonymous cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Scheme with cloud security ""IP Spoofing"" OR ""Spoofing"" attack network authentication PaaS Communication in Intelligent Vehicular Ad-hoc ",2019.0
